Dre Gene ID	Dre Protein ID	Dre Gene Name	Pka Gene ID	Pka Protein ID	Pka Gene Name
ENSDARP00000128763	ENSDARG00000078805	ap5b1	ENSPKIP00000000555	ENSPKIG00000019180	ap5b1
ENSDARP00000124126	ENSDARG00000058893	nhej1	ENSPKIP00000013748	ENSPKIG00000001066	nhej1
ENSDARP00000118767	ENSDARG00000088881	si:dkeyp-69b9.3	ENSPKIP00000032417	ENSPKIG00000012523	si:dkeyp-69b9.3
ENSDARP00000009303	ENSDARG00000020986	ctu1	ENSPKIP00000010377	ENSPKIG00000025122	CTU1
ENSDARP00000142917	ENSDARG00000098626	nitr12	ENSPKIP00000021280	ENSPKIG00000005732	nitr12
ENSDARP00000105933	ENSDARG00000089187	wfdc2	ENSPKIP00000011888	ENSPKIG00000018340	wfdc2
ENSDARP00000114359	ENSDARG00000003175	stx5al	ENSPKIP00000034863	ENSPKIG00000014020	stx5a
ENSDARP00000131567	ENSDARG00000102175	hamp	ENSPKIP00000012192	ENSPKIG00000000073	
ENSDARP00000055610	ENSDARG00000038154	isca2	ENSPKIP00000016024	ENSPKIG00000002527	isca2
ENSDARP00000142678	ENSDARG00000036420	si:dkey-33c9.6	ENSPKIP00000023312	ENSPKIG00000006978	si:dkey-33c9.6
ENSDARP00000054842	ENSDARG00000037652	ints15	ENSPKIP00000041370	ENSPKIG00000017941	ints15
ENSDARP00000129393	ENSDARG00000097726	si:ch211-149e23.4	ENSPKIP00000008936	ENSPKIG00000024228	
ENSDARP00000083057	ENSDARG00000057074	rpgrb	ENSPKIP00000003563	ENSPKIG00000021014	RPGR
ENSDARP00000090421	ENSDARG00000075181	crfb16	ENSPKIP00000032805	ENSPKIG00000012760	
ENSDARP00000122316	ENSDARG00000077950	tor1	ENSPKIP00000009614	ENSPKIG00000024662	tor1
ENSDARP00000026766	ENSDARG00000003144	pxmp2	ENSPKIP00000009923	ENSPKIG00000024833	pxmp2
ENSDARP00000109245	ENSDARG00000016968	tmem214	ENSPKIP00000033671	ENSPKIG00000013296	tmem214
ENSDARP00000107067	ENSDARG00000090063	fa2h	ENSPKIP00000036794	ENSPKIG00000015233	fa2h
ENSDARP00000043932	ENSDARG00000033789	ndufb7	ENSPKIP00000033241	ENSPKIG00000013028	ndufb7
ENSDARP00000123927	ENSDARG00000017522	ctdp1	ENSPKIP00000016395	ENSPKIG00000002733	ctdp1
ENSDARP00000142417	ENSDARG00000045015	cyp27b1	ENSPKIP00000020855	ENSPKIG00000005491	cyp27b1
ENSDARP00000129176	ENSDARG00000045641	usp3	ENSPKIP00000012874	ENSPKIG00000000507	usp3
ENSDARP00000137373	ENSDARG00000103025	hmgcs1	ENSPKIP00000001046	ENSPKIG00000019477	hmgcs1
ENSDARP00000135337	ENSDARG00000104269	si:ch211-271d10.2	ENSPKIP00000027716	ENSPKIG00000009661	si:ch211-271d10.2
ENSDARP00000118703	ENSDARG00000052520	sgms2a	ENSPKIP00000032803	ENSPKIG00000012756	sgms2a
ENSDARP00000113168	ENSDARG00000018542	hapln4	ENSPKIP00000008946	ENSPKIG00000024235	hapln4
ENSDARP00000157677	ENSDARG00000074253	olig3	ENSPKIP00000014501	ENSPKIG00000001548	olig3
ENSDARP00000104039	ENSDARG00000062357	tafa1a	ENSPKIP00000009688	ENSPKIG00000024695	tafa1a
ENSDARP00000090253	ENSDARG00000068711	crfb4	ENSPKIP00000021033	ENSPKIG00000005595	IL10RB
ENSDARP00000105121	ENSDARG00000090854	lsm11	ENSPKIP00000015799	ENSPKIG00000002386	lsm11
ENSDARP00000073666	ENSDARG00000056683	cdk5	ENSPKIP00000020182	ENSPKIG00000005046	cdk5
ENSDARP00000072928	ENSDARG00000029263	hoxb3a	ENSPKIP00000012723	ENSPKIG00000000431	hoxb3a
ENSDARP00000122329	ENSDARG00000042515	gpr176	ENSPKIP00000015094	ENSPKIG00000001930	gpr176
ENSDARP00000129532	ENSDARG00000002355	shpk	ENSPKIP00000000419	ENSPKIG00000019086	shpk
ENSDARP00000119382	ENSDARG00000087798	pdyn	ENSPKIP00000031016	ENSPKIG00000011685	pdyn
ENSDARP00000136614	ENSDARG00000101106	si:ch73-109d9.3	ENSPKIP00000038137	ENSPKIG00000016046	si:ch73-109d9.3
ENSDARP00000141103	ENSDARG00000101085	ss18l2	ENSPKIP00000012816	ENSPKIG00000000487	ss18l2
ENSDARP00000024706	ENSDARG00000007250	use1	ENSPKIP00000013432	ENSPKIG00000000876	use1
ENSDARP00000109087	ENSDARG00000063574	mtg2	ENSPKIP00000010456	ENSPKIG00000025173	mtg2
ENSDARP00000107936	ENSDARG00000086471	pkig	ENSPKIP00000030858	ENSPKIG00000011567	pkig
ENSDARP00000094402	ENSDARG00000002377	mief2	ENSPKIP00000035078	ENSPKIG00000014167	mief2
ENSDARP00000123964	ENSDARG00000052129	boka	ENSPKIP00000016484	ENSPKIG00000002794	boka
ENSDARP00000127626	ENSDARG00000098029	ciroz	ENSPKIP00000033809	ENSPKIG00000013365	ciroz
ENSDARP00000073739	ENSDARG00000056740	tmeff1b	ENSPKIP00000023284	ENSPKIG00000006973	tmeff1b
ENSDARP00000098832	ENSDARG00000077253	alkbh6	ENSPKIP00000037009	ENSPKIG00000015358	alkbh6
ENSDARP00000004251	ENSDARG00000018871	henmt1	ENSPKIP00000019824	ENSPKIG00000004845	henmt1
ENSDARP00000134216	ENSDARG00000102608	zgc:109986	ENSPKIP00000015253	ENSPKIG00000002034	zgc:109986
ENSDARP00000017340	ENSDARG00000019156	haus5	ENSPKIP00000038416	ENSPKIG00000016198	haus5
ENSDARP00000044114	ENSDARG00000034734	med6	ENSPKIP00000015849	ENSPKIG00000002417	med6
ENSDARP00000118427	ENSDARG00000021913	ak9	ENSPKIP00000033363	ENSPKIG00000013096	ak9
ENSDARP00000130726	ENSDARG00000105120	gab2	ENSPKIP00000035339	ENSPKIG00000014325	gab2
ENSDARP00000115279	ENSDARG00000090814	si:dkey-18a10.3	ENSPKIP00000014077	ENSPKIG00000001281	si:dkey-18a10.3
ENSDARP00000133798	ENSDARG00000102434	il12rb1	ENSPKIP00000022874	ENSPKIG00000006717	
ENSDARP00000142379	ENSDARG00000039218	gpr101	ENSPKIP00000040898	ENSPKIG00000017683	gpr101
ENSDARP00000025545	ENSDARG00000020449	yipf3	ENSPKIP00000028009	ENSPKIG00000009819	yipf3
ENSDARP00000056654	ENSDARG00000038792	klf17	ENSPKIP00000029855	ENSPKIG00000010936	klf17
ENSDARP00000143276	ENSDARG00000003206	chchd6a	ENSPKIP00000024928	ENSPKIG00000007988	chchd6a
ENSDARP00000124659	ENSDARG00000078686	arl8a	ENSPKIP00000020490	ENSPKIG00000005234	arl8a
ENSDARP00000003814	ENSDARG00000009253	rtraf	ENSPKIP00000036677	ENSPKIG00000015146	rtraf
ENSDARP00000114101	ENSDARG00000062549	acmsd	ENSPKIP00000030848	ENSPKIG00000011557	acmsd
ENSDARP00000145630	ENSDARG00000037262	cdkn2a/b	ENSPKIP00000040023	ENSPKIG00000017156	
ENSDARP00000054688	ENSDARG00000037555	atoh8	ENSPKIP00000020696	ENSPKIG00000005372	atoh8
ENSDARP00000056892	ENSDARG00000038976	pdcd7	ENSPKIP00000039682	ENSPKIG00000016945	pdcd7
ENSDARP00000132430	ENSDARG00000102612	slc15a4	ENSPKIP00000005891	ENSPKIG00000022377	slc15a4
ENSDARP00000120631	ENSDARG00000075818	dok2	ENSPKIP00000010084	ENSPKIG00000024935	dok2
ENSDARP00000116348	ENSDARG00000055560	p2ry8	ENSPKIP00000019040	ENSPKIG00000004374	p2ry8
ENSDARP00000030499	ENSDARG00000024771	slc24a5	ENSPKIP00000003037	ENSPKIG00000020692	slc24a5
ENSDARP00000136938	ENSDARG00000092855	srbd1	ENSPKIP00000005196	ENSPKIG00000021973	srbd1
ENSDARP00000135162	ENSDARG00000100531	abhd14b	ENSPKIP00000014486	ENSPKIG00000001528	abhd14b
ENSDARP00000072270	ENSDARG00000055445	slc22a15	ENSPKIP00000001308	ENSPKIG00000019581	slc22a15
ENSDARP00000107862	ENSDARG00000052010	ciao2b	ENSPKIP00000024248	ENSPKIG00000007575	ciao2b
ENSDARP00000131054	ENSDARG00000098075	sh3bgrl3	ENSPKIP00000005781	ENSPKIG00000022324	sh3bgrl3
ENSDARP00000117940	ENSDARG00000069595	prr36a	ENSPKIP00000024658	ENSPKIG00000007827	prr36a
ENSDARP00000118847	ENSDARG00000055901	steap4	ENSPKIP00000006452	ENSPKIG00000022725	steap4
ENSDARP00000045815	ENSDARG00000023111	plg	ENSPKIP00000037130	ENSPKIG00000014973	plg
ENSDARP00000143305	ENSDARG00000057227	matcap2	ENSPKIP00000028713	ENSPKIG00000010249	matcap2
ENSDARP00000094997	ENSDARG00000043431	qtgal	ENSPKIP00000021357	ENSPKIG00000005795	qtgal
ENSDARP00000123099	ENSDARG00000029905	phyhd1	ENSPKIP00000010715	ENSPKIG00000025327	phyhd1
ENSDARP00000104107	ENSDARG00000077082	agtrap	ENSPKIP00000019112	ENSPKIG00000004417	agtrap
ENSDARP00000119233	ENSDARG00000077581	zzz3	ENSPKIP00000027451	ENSPKIG00000009499	zzz3
ENSDARP00000017949	ENSDARG00000018593	parp16	ENSPKIP00000037919	ENSPKIG00000015906	parp16
ENSDARP00000128132	ENSDARG00000097063	sparcl2	ENSPKIP00000012988	ENSPKIG00000000576	sparcl2
ENSDARP00000069783	ENSDARG00000002509	zgc:153911	ENSPKIP00000030693	ENSPKIG00000011454	zgc:153911
ENSDARP00000059263	ENSDARG00000054031	mxd4	ENSPKIP00000040227	ENSPKIG00000017270	mxd4
ENSDARP00000117225	ENSDARG00000062987	tyw1	ENSPKIP00000022604	ENSPKIG00000006545	tyw1
ENSDARP00000058335	ENSDARG00000039880	arpp19b	ENSPKIP00000041090	ENSPKIG00000017772	
ENSDARP00000115796	ENSDARG00000035860	rps28	ENSPKIP00000025042	ENSPKIG00000008060	rps28
ENSDARP00000103369	ENSDARG00000079391	mrpl42	ENSPKIP00000010939	ENSPKIG00000025457	mrpl42
ENSDARP00000058545	ENSDARG00000040021	ebag9	ENSPKIP00000019250	ENSPKIG00000004494	ebag9
ENSDARP00000146252	ENSDARG00000013266	colec11	ENSPKIP00000002534	ENSPKIG00000020364	colec11
ENSDARP00000045409	ENSDARG00000035018	thy1	ENSPKIP00000003339	ENSPKIG00000020887	
ENSDARP00000109123	ENSDARG00000032264	mybl2b	ENSPKIP00000037651	ENSPKIG00000015741	mybl2b
ENSDARP00000099267	ENSDARG00000040643	ccr10	ENSPKIP00000012565	ENSPKIG00000000313	ccr10
ENSDARP00000004202	ENSDARG00000017422	apmap	ENSPKIP00000026802	ENSPKIG00000009133	apmap
ENSDARP00000127655	ENSDARG00000097032	si:ch211-256a21.4	ENSPKIP00000005023	ENSPKIG00000021875	si:ch211-256a21.4
ENSDARP00000062698	ENSDARG00000042726	grb7	ENSPKIP00000019620	ENSPKIG00000004691	grb7
ENSDARP00000129550	ENSDARG00000055472	nubp1	ENSPKIP00000011334	ENSPKIG00000018466	NUBP1
ENSDARP00000141837	ENSDARG00000101050	tmc8	ENSPKIP00000029159	ENSPKIG00000010517	tmc8
ENSDARP00000117743	ENSDARG00000030867	opn7c	ENSPKIP00000021246	ENSPKIG00000005720	opn7d
ENSDARP00000069903	ENSDARG00000053383	rprma	ENSPKIP00000012305	ENSPKIG00000000149	rprma
ENSDARP00000073959	ENSDARG00000056921	ankk1	ENSPKIP00000020284	ENSPKIG00000005120	ankk1
ENSDARP00000114812	ENSDARG00000042057	trmt1l	ENSPKIP00000021612	ENSPKIG00000005941	trmt1l
ENSDARP00000049146	ENSDARG00000033754	rbm48	ENSPKIP00000013327	ENSPKIG00000000801	rbm48
ENSDARP00000105424	ENSDARG00000009754	zc3h11a	ENSPKIP00000033877	ENSPKIG00000013419	zc3h11a
ENSDARP00000062855	ENSDARG00000042825	rnf169	ENSPKIP00000030865	ENSPKIG00000011555	rnf169
ENSDARP00000078619	ENSDARG00000060036	aimp1a	ENSPKIP00000032651	ENSPKIG00000012660	aimp1a
ENSDARP00000024846	ENSDARG00000020926	creb3l3l	ENSPKIP00000040664	ENSPKIG00000017537	creb3l3l
ENSDARP00000142041	ENSDARG00000104656	si:dkeyp-97a10.3	ENSPKIP00000012268	ENSPKIG00000000113	si:dkeyp-97a10.3
ENSDARP00000042942	ENSDARG00000016897	fbxo15	ENSPKIP00000021929	ENSPKIG00000006139	fbxo15
ENSDARP00000055324	ENSDARG00000037962	psmb7	ENSPKIP00000025076	ENSPKIG00000008080	psmb7
ENSDARP00000129340	ENSDARG00000003533	col8a1b	ENSPKIP00000002828	ENSPKIG00000020574	col8a1b
ENSDARP00000091381	ENSDARG00000069245	matn3a	ENSPKIP00000007101	ENSPKIG00000023132	matn3b
ENSDARP00000041303	ENSDARG00000009350	atg3	ENSPKIP00000017003	ENSPKIG00000003083	atg3
ENSDARP00000131340	ENSDARG00000100139	si:ch211-113d22.2	ENSPKIP00000024438	ENSPKIG00000007694	si:ch211-113d22.2
ENSDARP00000126936	ENSDARG00000076966	pagr1	ENSPKIP00000011866	ENSPKIG00000018363	pagr1
ENSDARP00000131876	ENSDARG00000042252	eif4h	ENSPKIP00000030105	ENSPKIG00000011080	eif4h
ENSDARP00000117816	ENSDARG00000018898	zfand5a	ENSPKIP00000013337	ENSPKIG00000000811	zfand5a
ENSDARP00000066582	ENSDARG00000004274	zgc:112496	ENSPKIP00000022759	ENSPKIG00000006638	zgc:112496
ENSDARP00000116491	ENSDARG00000018008	mdh1b	ENSPKIP00000016886	ENSPKIG00000003031	mdh1b
ENSDARP00000137947	ENSDARG00000103802	btbd8	ENSPKIP00000018638	ENSPKIG00000004122	
ENSDARP00000089712	ENSDARG00000052164	znf507	ENSPKIP00000030400	ENSPKIG00000011271	znf507
ENSDARP00000067842	ENSDARG00000046141	zgc:162025	ENSPKIP00000007750	ENSPKIG00000023529	zgc:162025
ENSDARP00000052382	ENSDARG00000036080	cd81a	ENSPKIP00000002372	ENSPKIG00000020289	cd81a
ENSDARP00000096934	ENSDARG00000071679	mydgf	ENSPKIP00000013096	ENSPKIG00000000657	mydgf
ENSDARP00000119527	ENSDARG00000086457	tnfaip8l1	ENSPKIP00000028998	ENSPKIG00000010419	tnfaip8l1
ENSDARP00000043068	ENSDARG00000032552	marchf5	ENSPKIP00000037963	ENSPKIG00000015945	marchf5
ENSDARP00000130343	ENSDARG00000101910	pcdh20l	ENSPKIP00000035927	ENSPKIG00000014691	
ENSDARP00000096296	ENSDARG00000071396	timm23a	ENSPKIP00000016425	ENSPKIG00000002755	timm23b
ENSDARP00000083002	ENSDARG00000061791	nyx	ENSPKIP00000017702	ENSPKIG00000003512	nyx
ENSDARP00000119661	ENSDARG00000068993	zgc:153631	ENSPKIP00000035777	ENSPKIG00000014581	
ENSDARP00000083038	ENSDARG00000011240	ift46	ENSPKIP00000017855	ENSPKIG00000003612	ift46
ENSDARP00000081428	ENSDARG00000061185	naa60	ENSPKIP00000041310	ENSPKIG00000017913	naa60
ENSDARP00000090088	ENSDARG00000045857	cebpz	ENSPKIP00000007208	ENSPKIG00000023192	cebpz
ENSDARP00000067396	ENSDARG00000033134	ndufaf7	ENSPKIP00000007250	ENSPKIG00000023222	ndufaf7
ENSDARP00000078852	ENSDARG00000060124	timm17b	ENSPKIP00000025645	ENSPKIG00000008438	timm17b
ENSDARP00000067426	ENSDARG00000045874	yeats4	ENSPKIP00000006310	ENSPKIG00000022638	yeats4
ENSDARP00000065984	ENSDARG00000044895	fmoda	ENSPKIP00000019191	ENSPKIG00000004457	fmoda
ENSDARP00000060904	ENSDARG00000041546	gypc	ENSPKIP00000025817	ENSPKIG00000008545	gypc
ENSDARP00000067173	ENSDARG00000045691	zcrb1	ENSPKIP00000022707	ENSPKIG00000006587	zcrb1
ENSDARP00000003198	ENSDARG00000017675	utp4	ENSPKIP00000017730	ENSPKIG00000003525	utp4
ENSDARP00000125377	ENSDARG00000096118	ost4	ENSPKIP00000033643	ENSPKIG00000013283	ost4
ENSDARP00000110855	ENSDARG00000087814	mfrp	ENSPKIP00000013246	ENSPKIG00000000722	mfrp
ENSDARP00000137037	ENSDARG00000101715	arsg	ENSPKIP00000025429	ENSPKIG00000008309	arsg
ENSDARP00000015151	ENSDARG00000022918	tbcc	ENSPKIP00000029556	ENSPKIG00000010761	tbcc
ENSDARP00000090057	ENSDARG00000068602	dalrd3	ENSPKIP00000034636	ENSPKIG00000013894	dalrd3
ENSDARP00000103670	ENSDARG00000079377	arhgef38	ENSPKIP00000031585	ENSPKIG00000012009	arhgef38
ENSDARP00000014595	ENSDARG00000016345	ncoa5	ENSPKIP00000017088	ENSPKIG00000003145	ncoa5
ENSDARP00000118480	ENSDARG00000091317	hunk	ENSPKIP00000006052	ENSPKIG00000022484	HUNK
ENSDARP00000015397	ENSDARG00000004034	arhgdig	ENSPKIP00000041537	ENSPKIG00000018045	arhgdig
ENSDARP00000000488	ENSDARG00000000474	tnni1a	ENSPKIP00000030411	ENSPKIG00000011263	tnni1a
ENSDARP00000088025	ENSDARG00000067566	sftpbb	ENSPKIP00000041078	ENSPKIG00000017785	sftpbb
ENSDARP00000025586	ENSDARG00000007383	kcnk6	ENSPKIP00000019501	ENSPKIG00000004645	kcnk6
ENSDARP00000075084	ENSDARG00000057887	nts	ENSPKIP00000008843	ENSPKIG00000024177	nts
ENSDARP00000117953	ENSDARG00000045378	pi15a	ENSPKIP00000022469	ENSPKIG00000006460	pi15a
ENSDARP00000123911	ENSDARG00000074156	sgca	ENSPKIP00000003922	ENSPKIG00000021231	sgca
ENSDARP00000118262	ENSDARG00000058587	terb1	ENSPKIP00000023818	ENSPKIG00000007302	
ENSDARP00000003154	ENSDARG00000017860	rgs5b	ENSPKIP00000041991	ENSPKIG00000018406	rgs5b
ENSDARP00000094710	ENSDARG00000070644	ttpal	ENSPKIP00000030822	ENSPKIG00000011537	ttpal
ENSDARP00000111827	ENSDARG00000037935	aldh16a1	ENSPKIP00000002070	ENSPKIG00000020091	aldh16a1
ENSDARP00000064109	ENSDARG00000043664	si:dkey-63b1.1	ENSPKIP00000006233	ENSPKIG00000022593	si:dkey-63b1.1
ENSDARP00000140069	ENSDARG00000101047	rtcb	ENSPKIP00000015048	ENSPKIG00000001881	RTCB
ENSDARP00000113588	ENSDARG00000088402	rubcnl	ENSPKIP00000002218	ENSPKIG00000020195	rubcnl
ENSDARP00000118478	ENSDARG00000052361	il15	ENSPKIP00000036889	ENSPKIG00000015299	
ENSDARP00000004144	ENSDARG00000004580	nmnat2	ENSPKIP00000023546	ENSPKIG00000007121	nmnat2
ENSDARP00000007394	ENSDARG00000040352	crot	ENSPKIP00000012123	ENSPKIG00000000024	crot
ENSDARP00000060821	ENSDARG00000095863	afp4	ENSPKIP00000002746	ENSPKIG00000020524	
ENSDARP00000060053	ENSDARG00000040985	itgbl1	ENSPKIP00000019358	ENSPKIG00000004552	itgbl1
ENSDARP00000124963	ENSDARG00000020610	tnnt2a	ENSPKIP00000030305	ENSPKIG00000011216	tnnt2a
ENSDARP00000114242	ENSDARG00000093781	lrriq1	ENSPKIP00000008807	ENSPKIG00000024150	lrriq1
ENSDARP00000088969	ENSDARG00000035471	si:dkey-220k22.1	ENSPKIP00000008383	ENSPKIG00000023901	
ENSDARP00000111950	ENSDARG00000091633	si:dkey-177p2.18	ENSPKIP00000021081	ENSPKIG00000005613	si:dkey-177p2.18
ENSDARP00000069090	ENSDARG00000052701	smpd2b	ENSPKIP00000030499	ENSPKIG00000011322	smpd2b
ENSDARP00000127992	ENSDARG00000058127	hcfc2	ENSPKIP00000038968	ENSPKIG00000016523	hcfc2
ENSDARP00000132705	ENSDARG00000100823	selenok	ENSPKIP00000009548	ENSPKIG00000024615	
ENSDARP00000117032	ENSDARG00000038793	ccdc24	ENSPKIP00000030038	ENSPKIG00000011048	
ENSDARP00000119204	ENSDARG00000059459	si:ch211-283h6.4	ENSPKIP00000040921	ENSPKIG00000017698	si:ch211-283h6.4
ENSDARP00000061554	ENSDARG00000042000	si:ch211-63o20.7	ENSPKIP00000005097	ENSPKIG00000021912	si:ch211-63o20.7
ENSDARP00000064614	ENSDARG00000013110	dmtn	ENSPKIP00000041655	ENSPKIG00000018115	dmtn
ENSDARP00000119578	ENSDARG00000009372	diras1b	ENSPKIP00000017603	ENSPKIG00000003444	diras1a
ENSDARP00000052350	ENSDARG00000036064	cnep1r1	ENSPKIP00000020187	ENSPKIG00000005054	cnep1r1
ENSDARP00000132397	ENSDARG00000098934	rrp7a	ENSPKIP00000023668	ENSPKIG00000007209	rrp7a
ENSDARP00000026184	ENSDARG00000005772	tsr2	ENSPKIP00000008006	ENSPKIG00000023676	tsr2
ENSDARP00000150496	ENSDARG00000103226	dhcr7	ENSPKIP00000006439	ENSPKIG00000022717	dhcr7
ENSDARP00000017240	ENSDARG00000009748	dffb	ENSPKIP00000031915	ENSPKIG00000012225	dffb
ENSDARP00000020679	ENSDARG00000002194	rhd	ENSPKIP00000025058	ENSPKIG00000008067	rhd
ENSDARP00000136407	ENSDARG00000101222	lsm10	ENSPKIP00000018014	ENSPKIG00000003728	lsm10
ENSDARP00000091287	ENSDARG00000069199	zgc:172120	ENSPKIP00000009656	ENSPKIG00000024677	
ENSDARP00000067792	ENSDARG00000016811	ints3	ENSPKIP00000035880	ENSPKIG00000014552	ints3
ENSDARP00000113453	ENSDARG00000006370	atp6v1h	ENSPKIP00000020510	ENSPKIG00000005242	atp6v1h
ENSDARP00000120586	ENSDARG00000075853	sh3kbp1	ENSPKIP00000037714	ENSPKIG00000015727	sh3kbp1
ENSDARP00000113874	ENSDARG00000092463	rhbdd2	ENSPKIP00000035415	ENSPKIG00000014382	rhbdd2
ENSDARP00000051848	ENSDARG00000035741	slc25a11	ENSPKIP00000021441	ENSPKIG00000005819	slc25a11
ENSDARP00000026870	ENSDARG00000007024	uox	ENSPKIP00000006253	ENSPKIG00000022605	uox
ENSDARP00000089895	ENSDARG00000094709	arl8	ENSPKIP00000030564	ENSPKIG00000011377	arl8
ENSDARP00000075800	ENSDARG00000058503	flt3	ENSPKIP00000025528	ENSPKIG00000008367	
ENSDARP00000106626	ENSDARG00000088639	cdca9	ENSPKIP00000020097	ENSPKIG00000005007	cdca9
ENSDARP00000120799	ENSDARG00000022718	casp8ap2	ENSPKIP00000011351	ENSPKIG00000018485	casp8ap2
ENSDARP00000049166	ENSDARG00000033144	psme2	ENSPKIP00000037058	ENSPKIG00000015387	psme2
ENSDARP00000041786	ENSDARG00000021021	trim35-28	ENSPKIP00000003291	ENSPKIG00000020854	trim35-28
ENSDARP00000113063	ENSDARG00000062995	si:dkey-14o18.2	ENSPKIP00000030900	ENSPKIG00000011599	
ENSDARP00000135563	ENSDARG00000099448	sh3d21	ENSPKIP00000020273	ENSPKIG00000005110	sh3d21
ENSDARP00000063942	ENSDARG00000043554	mrpl40	ENSPKIP00000009356	ENSPKIG00000024494	mrpl40
ENSDARP00000036199	ENSDARG00000025693	tmem9b	ENSPKIP00000033329	ENSPKIG00000013090	tmem9b
ENSDARP00000106147	ENSDARG00000090676	tenm2b	ENSPKIP00000021461	ENSPKIG00000005856	
ENSDARP00000089398	ENSDARG00000068261	pros1	ENSPKIP00000027053	ENSPKIG00000009276	pros1
ENSDARP00000110404	ENSDARG00000012353	vipr2	ENSPKIP00000032465	ENSPKIG00000012556	vipr2
ENSDARP00000127979	ENSDARG00000043643	ehbp1	ENSPKIP00000018575	ENSPKIG00000004032	ehbp1
ENSDARP00000048926	ENSDARG00000034309	cox10	ENSPKIP00000031721	ENSPKIG00000012098	cox10
ENSDARP00000148873	ENSDARG00000015921	pwp1	ENSPKIP00000010935	ENSPKIG00000025455	pwp1
ENSDARP00000085993	ENSDARG00000062951	meak7	ENSPKIP00000018876	ENSPKIG00000004260	meak7
ENSDARP00000018668	ENSDARG00000007804	gas6	ENSPKIP00000027099	ENSPKIG00000009307	
ENSDARP00000083758	ENSDARG00000060991	mief1	ENSPKIP00000023929	ENSPKIG00000007377	mief1
ENSDARP00000067487	ENSDARG00000045913	mrps10	ENSPKIP00000022927	ENSPKIG00000006748	mrps10
ENSDARP00000147060	ENSDARG00000058005	hgd	ENSPKIP00000010358	ENSPKIG00000025095	hgd
ENSDARP00000151945	ENSDARG00000061603	sorbs2b	ENSPKIP00000020507	ENSPKIG00000005259	
ENSDARP00000118380	ENSDARG00000043635	cmc2	ENSPKIP00000013105	ENSPKIG00000000667	cmc2
ENSDARP00000132701	ENSDARG00000101067	shoc1	ENSPKIP00000009777	ENSPKIG00000024746	
ENSDARP00000022618	ENSDARG00000017658	gmppb	ENSPKIP00000029335	ENSPKIG00000010618	gmppb
ENSDARP00000019404	ENSDARG00000045541	gcc1	ENSPKIP00000010820	ENSPKIG00000025384	gcc1
ENSDARP00000144467	ENSDARG00000107511	tgs1	ENSPKIP00000020834	ENSPKIG00000005454	tgs1
ENSDARP00000072235	ENSDARG00000055416	serpinb1	ENSPKIP00000027044	ENSPKIG00000009257	SERPINB1
ENSDARP00000017489	ENSDARG00000003749	polb	ENSPKIP00000014369	ENSPKIG00000001456	polb
ENSDARP00000137655	ENSDARG00000089681	btf3l4	ENSPKIP00000026395	ENSPKIG00000008904	btf3l4
ENSDARP00000098900	ENSDARG00000078807	paxx	ENSPKIP00000009982	ENSPKIG00000024876	
ENSDARP00000075256	ENSDARG00000058011	arxa	ENSPKIP00000010327	ENSPKIG00000025084	ARX
ENSDARP00000037642	ENSDARG00000027391	ccnd3	ENSPKIP00000013985	ENSPKIG00000001211	ccnd3
