Eel Gene ID	Eel Protein ID	Eel Gene Name	Pka Gene ID	Pka Protein ID	Pka Gene Name
ENSEEEP00000008035	ENSEEEG00000004193	si:dkey-103i16.6	ENSPKIP00000009647	ENSPKIG00000024674	si:dkey-103i16.6
ENSEEEP00000045294	ENSEEEG00000028269	si:ch211-51c14.1	ENSPKIP00000018023	ENSPKIG00000003741	si:ch211-51c14.1
ENSEEEP00000015715	ENSEEEG00000007782	GTF2F1	ENSPKIP00000018737	ENSPKIG00000004185	gtf2f1
ENSEEEP00000004786	ENSEEEG00000002495	ywhaba	ENSPKIP00000023751	ENSPKIG00000007244	YWHAB
ENSEEEP00000057028	ENSEEEG00000023754	MYO19	ENSPKIP00000038901	ENSPKIG00000016488	myo19
ENSEEEP00000031077	ENSEEEG00000014862	btf3	ENSPKIP00000000192	ENSPKIG00000018952	btf3
ENSEEEP00000031046	ENSEEEG00000014859	foxd1	ENSPKIP00000001249	ENSPKIG00000019613	foxd1
ENSEEEP00000047036	ENSEEEG00000022138	INTS8	ENSPKIP00000019653	ENSPKIG00000004704	ints8
ENSEEEP00000004790	ENSEEEG00000002501	RIMS4	ENSPKIP00000030044	ENSPKIG00000011049	rims4
ENSEEEP00000058028	ENSEEEG00000028503	TMEM263	ENSPKIP00000009629	ENSPKIG00000024668	tmem263
ENSEEEP00000014584	ENSEEEG00000007249	rpl36a	ENSPKIP00000034450	ENSPKIG00000013772	rpl36a
ENSEEEP00000030992	ENSEEEG00000014800	SMYD5	ENSPKIP00000019666	ENSPKIG00000004723	smyd5
ENSEEEP00000031044	ENSEEEG00000014858	TMEM174	ENSPKIP00000001270	ENSPKIG00000019625	tmem174
ENSEEEP00000040096	ENSEEEG00000019012	OCIAD1	ENSPKIP00000018942	ENSPKIG00000004311	OCIAD1
ENSEEEP00000005989	ENSEEEG00000003182	si:ch73-62b13.1	ENSPKIP00000009582	ENSPKIG00000024642	si:ch73-62b13.1
ENSEEEP00000004792	ENSEEEG00000002502	abraa	ENSPKIP00000030007	ENSPKIG00000011038	abraa
ENSEEEP00000015705	ENSEEEG00000007778		ENSPKIP00000007483	ENSPKIG00000023355	
ENSEEEP00000053636	ENSEEEG00000025741	KLHL18	ENSPKIP00000015902	ENSPKIG00000002441	gpc5b
ENSEEEP00000005183	ENSEEEG00000002701		ENSPKIP00000005378	ENSPKIG00000022068	
ENSEEEP00000008713	ENSEEEG00000004522		ENSPKIP00000036597	ENSPKIG00000015111	
ENSEEEP00000005993	ENSEEEG00000003184	mterf2	ENSPKIP00000012836	ENSPKIG00000000498	mterf2
ENSEEEP00000022598	ENSEEEG00000010979	CYP27C1	ENSPKIP00000040488	ENSPKIG00000017426	cyp27c1
ENSEEEP00000058158	ENSEEEG00000028650	IGFBP7	ENSPKIP00000012128	ENSPKIG00000000031	igfbp7
ENSEEEP00000015700	ENSEEEG00000007774	SYT10	ENSPKIP00000033326	ENSPKIG00000013057	
ENSEEEP00000033530	ENSEEEG00000015947	COX18	ENSPKIP00000012142	ENSPKIG00000000041	cox18
ENSEEEP00000051781	ENSEEEG00000024298	PCSK7	ENSPKIP00000026307	ENSPKIG00000008783	pcsk7
ENSEEEP00000001178	ENSEEEG00000000798	KLF13	ENSPKIP00000013760	ENSPKIG00000001074	klf13
ENSEEEP00000036864	ENSEEEG00000017466	PEX7	ENSPKIP00000032935	ENSPKIG00000012811	pex7
ENSEEEP00000005999	ENSEEEG00000003187	zgc:153031	ENSPKIP00000009553	ENSPKIG00000024624	zgc:153031
ENSEEEP00000037381	ENSEEEG00000017771	tmprss13b	ENSPKIP00000010544	ENSPKIG00000025227	tmprss13a
ENSEEEP00000022616	ENSEEEG00000010980	ERCC3	ENSPKIP00000014245	ENSPKIG00000001319	ercc3
ENSEEEP00000012992	ENSEEEG00000006536	KMT5C	ENSPKIP00000003044	ENSPKIG00000020704	
ENSEEEP00000060375	ENSEEEG00000026927		ENSPKIP00000024916	ENSPKIG00000007983	
ENSEEEP00000039715	ENSEEEG00000018831	ANKRD27	ENSPKIP00000002653	ENSPKIG00000020433	ankrd27
ENSEEEP00000030997	ENSEEEG00000014834	KY	ENSPKIP00000027581	ENSPKIG00000009583	ky
ENSEEEP00000055663	ENSEEEG00000004527	RPS2	ENSPKIP00000012242	ENSPKIG00000000106	rps2
ENSEEEP00000053667	ENSEEEG00000016497	EFL1	ENSPKIP00000011433	ENSPKIG00000018456	efl1
ENSEEEP00000004808	ENSEEEG00000002507	RSPO4	ENSPKIP00000021376	ENSPKIG00000005816	rspo4
ENSEEEP00000050519	ENSEEEG00000023757	ZNHIT3	ENSPKIP00000039004	ENSPKIG00000016556	znhit3
ENSEEEP00000020320	ENSEEEG00000009916	lrtm2a	ENSPKIP00000012839	ENSPKIG00000000499	lrtm2a
ENSEEEP00000015121	ENSEEEG00000007534		ENSPKIP00000020713	ENSPKIG00000005393	ighv2-2
ENSEEEP00000008257	ENSEEEG00000004314	DMTF1	ENSPKIP00000035953	ENSPKIG00000014686	dmtf1
ENSEEEP00000050540	ENSEEEG00000023762	hnrnpc	ENSPKIP00000040385	ENSPKIG00000017376	c1qbp
ENSEEEP00000047044	ENSEEEG00000022147		ENSPKIP00000041603	ENSPKIG00000018091	
ENSEEEP00000007521	ENSEEEG00000003795	rpl4	ENSPKIP00000037493	ENSPKIG00000015644	rpl4
ENSEEEP00000004812	ENSEEEG00000002511	PSMF1	ENSPKIP00000021343	ENSPKIG00000005797	psmf1
ENSEEEP00000040703	ENSEEEG00000019288	RARS1	ENSPKIP00000027703	ENSPKIG00000009639	rars1
ENSEEEP00000039234	ENSEEEG00000018607	C9	ENSPKIP00000017440	ENSPKIG00000003353	c9
ENSEEEP00000050543	ENSEEEG00000023771	RPAIN	ENSPKIP00000040334	ENSPKIG00000017333	rpain
ENSEEEP00000022641	ENSEEEG00000010992	WDR12	ENSPKIP00000026341	ENSPKIG00000008839	WDR12
ENSEEEP00000047046	ENSEEEG00000022148	TXNL4A	ENSPKIP00000016533	ENSPKIG00000002824	txnl4a
ENSEEEP00000063452	ENSEEEG00000027310		ENSPKIP00000011434	ENSPKIG00000018529	
ENSEEEP00000004815	ENSEEEG00000002512	TMEM74B	ENSPKIP00000021325	ENSPKIG00000005780	tmem74b
ENSEEEP00000008740	ENSEEEG00000004530	NDUFB10	ENSPKIP00000012260	ENSPKIG00000000114	ndufb10
ENSEEEP00000004818	ENSEEEG00000002514	BLCAP	ENSPKIP00000021302	ENSPKIG00000005765	blcap
ENSEEEP00000047052	ENSEEEG00000022152	nutf2l	ENSPKIP00000016607	ENSPKIG00000002859	nutf2l
ENSEEEP00000035174	ENSEEEG00000016737	SKIDA1	ENSPKIP00000029564	ENSPKIG00000010764	SKIDA1
ENSEEEP00000040698	ENSEEEG00000019281	UBLCP1	ENSPKIP00000040583	ENSPKIG00000017480	ublcp1
ENSEEEP00000059981	ENSEEEG00000025999	DYNLT1	ENSPKIP00000008461	ENSPKIG00000023942	dynlt1b
ENSEEEP00000022650	ENSEEEG00000010998	tcf23	ENSPKIP00000036514	ENSPKIG00000015058	tcf23
ENSEEEP00000048182	ENSEEEG00000022683	im:7138239	ENSPKIP00000012151	ENSPKIG00000000043	pnhd
ENSEEEP00000035178	ENSEEEG00000016738	MLLT10	ENSPKIP00000022832	ENSPKIG00000006615	mllt10
ENSEEEP00000008261	ENSEEEG00000004323	tmem243b	ENSPKIP00000035876	ENSPKIG00000014653	tmem243a
ENSEEEP00000036775	ENSEEEG00000017457	SLC35D3	ENSPKIP00000032835	ENSPKIG00000012776	SLC35D3
ENSEEEP00000000138	ENSEEEG00000000101	HSPB1	ENSPKIP00000040112	ENSPKIG00000017205	hspb1
ENSEEEP00000020204	ENSEEEG00000009865	si:ch73-278m9.1	ENSPKIP00000001157	ENSPKIG00000019565	si:ch73-278m9.1
ENSEEEP00000006348	ENSEEEG00000003378	STRADB	ENSPKIP00000028302	ENSPKIG00000009985	STRADB
ENSEEEP00000004824	ENSEEEG00000002518	RIPOR3	ENSPKIP00000021151	ENSPKIG00000005666	ripor3
ENSEEEP00000001123	ENSEEEG00000000752	BNIP2	ENSPKIP00000025023	ENSPKIG00000008039	bnip2
ENSEEEP00000036770	ENSEEEG00000017454	PBK	ENSPKIP00000038064	ENSPKIG00000016007	pbk
ENSEEEP00000008262	ENSEEEG00000004326	MEIG1	ENSPKIP00000010335	ENSPKIG00000025091	meig1
ENSEEEP00000040685	ENSEEEG00000019276	UBTD2	ENSPKIP00000040645	ENSPKIG00000017530	ubtd2
ENSEEEP00000008888	ENSEEEG00000004054	HELZ	ENSPKIP00000021958	ENSPKIG00000006157	helz
ENSEEEP00000042850	ENSEEEG00000020214		ENSPKIP00000033636	ENSPKIG00000013276	
ENSEEEP00000036767	ENSEEEG00000017450	ESCO2	ENSPKIP00000038126	ENSPKIG00000016038	esco2
ENSEEEP00000047088	ENSEEEG00000022154	NGLY1	ENSPKIP00000028343	ENSPKIG00000010026	ngly1
ENSEEEP00000008766	ENSEEEG00000004537		ENSPKIP00000012223	ENSPKIG00000000096	
ENSEEEP00000001110	ENSEEEG00000000745	foxb1a	ENSPKIP00000025104	ENSPKIG00000008092	FOXB1
ENSEEEP00000022669	ENSEEEG00000011002	NOP58	ENSPKIP00000017819	ENSPKIG00000003585	nop58
ENSEEEP00000004834	ENSEEEG00000002524		ENSPKIP00000017126	ENSPKIG00000003174	
ENSEEEP00000036764	ENSEEEG00000017448	CCDC25	ENSPKIP00000038158	ENSPKIG00000016058	ccdc25
ENSEEEP00000020197	ENSEEEG00000009857	YEATS4	ENSPKIP00000006310	ENSPKIG00000022638	yeats4
ENSEEEP00000039717	ENSEEEG00000018833	bmb	ENSPKIP00000025998	ENSPKIG00000008649	bmb
ENSEEEP00000057189	ENSEEEG00000002762	AIFM1	ENSPKIP00000017409	ENSPKIG00000003320	aifm1
ENSEEEP00000036755	ENSEEEG00000017447	SCARA3	ENSPKIP00000038194	ENSPKIG00000016074	scara3
ENSEEEP00000008768	ENSEEEG00000004539	msrb1a	ENSPKIP00000012168	ENSPKIG00000000059	MSRB1
ENSEEEP00000035181	ENSEEEG00000016740	COMMD3	ENSPKIP00000029609	ENSPKIG00000010783	commd3
ENSEEEP00000039719	ENSEEEG00000018834	FAAP24	ENSPKIP00000002899	ENSPKIG00000020612	faap24
ENSEEEP00000036752	ENSEEEG00000017446	CLU	ENSPKIP00000038242	ENSPKIG00000016099	clu
ENSEEEP00000000532	ENSEEEG00000000394	SUPT4H1	ENSPKIP00000039783	ENSPKIG00000017008	supt4h1
ENSEEEP00000024692	ENSEEEG00000011956		ENSPKIP00000014885	ENSPKIG00000001797	
ENSEEEP00000008779	ENSEEEG00000004543	FAHD1	ENSPKIP00000012152	ENSPKIG00000000050	fahd1
ENSEEEP00000000544	ENSEEEG00000000404		ENSPKIP00000039756	ENSPKIG00000016994	
ENSEEEP00000022676	ENSEEEG00000011009	SUMO1	ENSPKIP00000026229	ENSPKIG00000008789	sumo1
ENSEEEP00000059920	ENSEEEG00000029037		ENSPKIP00000039708	ENSPKIG00000016965	RNF43
ENSEEEP00000054361	ENSEEEG00000003277	FAM171A1	ENSPKIP00000010835	ENSPKIG00000025391	fam171a1
ENSEEEP00000019687	ENSEEEG00000009638	RBM26	ENSPKIP00000001390	ENSPKIG00000019670	rbm26
ENSEEEP00000008292	ENSEEEG00000004330	HSPA14	ENSPKIP00000010381	ENSPKIG00000025116	hspa14
ENSEEEP00000022687	ENSEEEG00000011014	CDK15	ENSPKIP00000017628	ENSPKIG00000003440	cdk15
ENSEEEP00000031023	ENSEEEG00000014844	MED12	ENSPKIP00000017647	ENSPKIG00000003413	med12
ENSEEEP00000058126	ENSEEEG00000028092	RNF5	ENSPKIP00000031963	ENSPKIG00000012249	RNF5
ENSEEEP00000035214	ENSEEEG00000016745	PDIA4	ENSPKIP00000014573	ENSPKIG00000001611	pdia4
ENSEEEP00000007622	ENSEEEG00000003978	ZWILCH	ENSPKIP00000024372	ENSPKIG00000007647	zwilch
ENSEEEP00000017190	ENSEEEG00000008513		ENSPKIP00000012021	ENSPKIG00000025608	
ENSEEEP00000042801	ENSEEEG00000020146	INTS13	ENSPKIP00000000660	ENSPKIG00000019221	ints13
ENSEEEP00000040645	ENSEEEG00000019256	cct6a	ENSPKIP00000021859	ENSPKIG00000006077	cct6a
ENSEEEP00000014157	ENSEEEG00000007030	obi1	ENSPKIP00000017861	ENSPKIG00000003620	
ENSEEEP00000033515	ENSEEEG00000015937		ENSPKIP00000011177	ENSPKIG00000025586	pja2
ENSEEEP00000007637	ENSEEEG00000003993	SNAPC5	ENSPKIP00000024451	ENSPKIG00000007703	SNAPC5
ENSEEEP00000057012	ENSEEEG00000004550	HAGH	ENSPKIP00000012144	ENSPKIG00000000005	hagh
ENSEEEP00000042907	ENSEEEG00000020243	rassf8b	ENSPKIP00000000965	ENSPKIG00000019425	RASSF8
ENSEEEP00000019555	ENSEEEG00000009587	smad6b	ENSPKIP00000037684	ENSPKIG00000015767	smad6b
ENSEEEP00000036741	ENSEEEG00000017424	REPS1	ENSPKIP00000038353	ENSPKIG00000016141	reps1
ENSEEEP00000031037	ENSEEEG00000014852	MARS2	ENSPKIP00000004225	ENSPKIG00000021425	mars2
ENSEEEP00000042910	ENSEEEG00000020245	NAPEPLD	ENSPKIP00000002800	ENSPKIG00000020551	napepld
ENSEEEP00000012492	ENSEEEG00000006275	rtn4a	ENSPKIP00000004256	ENSPKIG00000021443	rtn4a
ENSEEEP00000042913	ENSEEEG00000020247	GLIPR1	ENSPKIP00000016481	ENSPKIG00000002790	GLIPR1
ENSEEEP00000008299	ENSEEEG00000004337	CDNF	ENSPKIP00000010459	ENSPKIG00000025160	cdnf
ENSEEEP00000022706	ENSEEEG00000011024	NTAN1	ENSPKIP00000006241	ENSPKIG00000022597	NTAN1
ENSEEEP00000034679	ENSEEEG00000016495	SAXO2	ENSPKIP00000011664	ENSPKIG00000018629	saxo2
ENSEEEP00000057479	ENSEEEG00000025834	SNORC	ENSPKIP00000019248	ENSPKIG00000004493	
ENSEEEP00000042918	ENSEEEG00000020250	KRR1	ENSPKIP00000001293	ENSPKIG00000019635	krr1
ENSEEEP00000059211	ENSEEEG00000006274	uqcrh	ENSPKIP00000025887	ENSPKIG00000008557	uqcrh
ENSEEEP00000040254	ENSEEEG00000018887	CTRL	ENSPKIP00000022706	ENSPKIG00000006600	ctrb.1
ENSEEEP00000034678	ENSEEEG00000016494	ADAMTSL3	ENSPKIP00000001762	ENSPKIG00000019919	adamtsl3
ENSEEEP00000039335	ENSEEEG00000018679	ATG12	ENSPKIP00000007736	ENSPKIG00000023519	hspb15
ENSEEEP00000008359	ENSEEEG00000004340	TYMP	ENSPKIP00000034645	ENSPKIG00000013893	TYMP
ENSEEEP00000021064	ENSEEEG00000010273	PHLDA1	ENSPKIP00000001361	ENSPKIG00000019691	phlda1
ENSEEEP00000008362	ENSEEEG00000004363	LSM8	ENSPKIP00000021863	ENSPKIG00000006092	LSM8
ENSEEEP00000059936	ENSEEEG00000026268	si:dkey-27p23.3	ENSPKIP00000027689	ENSPKIG00000009642	hoatz
ENSEEEP00000051816	ENSEEEG00000024322	AADAC	ENSPKIP00000028731	ENSPKIG00000010255	aadac
ENSEEEP00000058691	ENSEEEG00000004364	si:ch73-139j3.4	ENSPKIP00000030490	ENSPKIG00000011326	
ENSEEEP00000029615	ENSEEEG00000014188	PTCD2	ENSPKIP00000001713	ENSPKIG00000019896	ptcd2
ENSEEEP00000039228	ENSEEEG00000018642	BTG4	ENSPKIP00000020072	ENSPKIG00000004973	btg4
ENSEEEP00000013122	ENSEEEG00000006595	cldni	ENSPKIP00000039421	ENSPKIG00000016776	cldni
ENSEEEP00000012481	ENSEEEG00000006263	RAD54L	ENSPKIP00000038368	ENSPKIG00000016172	rad54l
ENSEEEP00000009270	ENSEEEG00000004755	tmprss15	ENSPKIP00000000605	ENSPKIG00000019201	tmprss15
ENSEEEP00000040611	ENSEEEG00000019233	NIPSNAP2	ENSPKIP00000042037	ENSPKIG00000018371	NIPSNAP2
ENSEEEP00000034664	ENSEEEG00000016487	cx36.7	ENSPKIP00000000346	ENSPKIG00000019048	gjd6
ENSEEEP00000054226	ENSEEEG00000026976		ENSPKIP00000020124	ENSPKIG00000005024	
ENSEEEP00000008187	ENSEEEG00000004269		ENSPKIP00000010915	ENSPKIG00000025445	
ENSEEEP00000000702	ENSEEEG00000000483	ICE2	ENSPKIP00000014093	ENSPKIG00000001276	ice2
ENSEEEP00000019896	ENSEEEG00000009726	AAGAB	ENSPKIP00000037809	ENSPKIG00000015838	aagab
ENSEEEP00000029605	ENSEEEG00000014182	TTC33	ENSPKIP00000002001	ENSPKIG00000020064	ttc33
ENSEEEP00000034661	ENSEEEG00000016476	FTH1	ENSPKIP00000042077	ENSPKIG00000018417	fth1b
ENSEEEP00000054681	ENSEEEG00000026442		ENSPKIP00000026692	ENSPKIG00000009069	
