Hsa Gene ID	Hsa Protein ID	Hsa Gene Name	Pka Gene ID	Pka Protein ID	Pka Gene Name
ENSP00000489530	ENSG00000282853	ECH1	ENSPKIP00000025524	ENSPKIG00000008358	ech1
ENSP00000354001	ENSG00000221864	KRTAP12-2	ENSPKIP00000032740	ENSPKIG00000012715	
ENSP00000371785	ENSG00000184221	OLIG1	ENSPKIP00000030715	ENSPKIG00000011478	olig1
ENSP00000491876	ENSG00000284487	MOSMO	ENSPKIP00000025027	ENSPKIG00000008046	MOSMO
ENSP00000517432	ENSG00000291835	MYG1	ENSPKIP00000015127	ENSPKIG00000001941	myg1
ENSP00000517571	ENSG00000291930	NDUFB10	ENSPKIP00000012260	ENSPKIG00000000114	ndufb10
ENSP00000493848	ENSG00000285250	MSRA	ENSPKIP00000037061	ENSPKIG00000015369	msraa
ENSP00000517634	ENSG00000291958	GCSH	ENSPKIP00000028067	ENSPKIG00000009862	
ENSP00000518197	ENSG00000292248	PKD1L2	ENSPKIP00000028414	ENSPKIG00000010042	
ENSP00000495318	ENSG00000285327	XKR5	ENSPKIP00000019717	ENSPKIG00000004777	
ENSP00000493647	ENSG00000285109	GATA4	ENSPKIP00000019757	ENSPKIG00000004796	gata4
ENSP00000518496	ENSG00000292288	FAM167A	ENSPKIP00000036811	ENSPKIG00000015243	fam167aa
ENSP00000518539	ENSG00000292301	ERI1	ENSPKIP00000004953	ENSPKIG00000021836	eri1
ENSP00000487984	ENSG00000273562	NAP1L4	ENSPKIP00000034890	ENSPKIG00000013990	NAP1L4
ENSP00000496345	ENSG00000284872	TRMT9B	ENSPKIP00000013917	ENSPKIG00000001165	trmt9b
ENSP00000482330	ENSG00000276130	SLC67A1	ENSPKIP00000034975	ENSPKIG00000014108	slc67a1
ENSP00000483129	ENSG00000274780	PHRF1	ENSPKIP00000012413	ENSPKIG00000000215	phrf1
ENSP00000379118	ENSG00000278545	MARCHF8	ENSPKIP00000027846	ENSPKIG00000009724	MARCHF8
ENSP00000299766	ENSG00000166603	MC4R	ENSPKIP00000037431	ENSPKIG00000015588	mc4r
ENSP00000488830	ENSG00000275035	CCDC92	ENSPKIP00000006346	ENSPKIG00000022660	ccdc92
ENSP00000465194	ENSG00000267228		ENSPKIP00000006692	ENSPKIG00000022861	ier3ip1
ENSP00000463379	ENSG00000215472	RPL17-C18orf32	ENSPKIP00000004870	ENSPKIG00000021790	rpl17
ENSP00000419185	ENSG00000119547	ONECUT2	ENSPKIP00000009333	ENSPKIG00000024479	onecut2
ENSP00000464330	ENSG00000206043	C18orf63	ENSPKIP00000028956	ENSPKIG00000010389	
ENSP00000319052	ENSG00000177143	CETN1	ENSPKIP00000015555	ENSPKIG00000002236	cetn4
ENSP00000372959	ENSG00000206422	LRRC30	ENSPKIP00000016245	ENSPKIG00000002651	lrrc30a
ENSP00000468086	ENSG00000176136	MC5R	ENSPKIP00000040414	ENSPKIG00000017392	mc5ra
ENSP00000432279	ENSG00000255112	CHMP1B	ENSPKIP00000035233	ENSPKIG00000014262	chmp1b
ENSP00000518446	ENSG00000250878	METTL21EP	ENSPKIP00000025049	ENSPKIG00000008066	mettl21e
ENSP00000487655	ENSG00000282642	IGHV3-33	ENSPKIP00000039485	ENSPKIG00000016816	
ENSP00000480351	ENSG00000274497	IGHG2	ENSPKIP00000007459	ENSPKIG00000023328	
ENSP00000485962	ENSG00000282657	IGHM	ENSPKIP00000033326	ENSPKIG00000013057	
ENSP00000368459	ENSG00000083635	NUFIP1	ENSPKIP00000024074	ENSPKIG00000007471	NUFIP1
ENSP00000594411	ENSG00000139687	RB1	ENSPKIP00000036319	ENSPKIG00000014925	rb1
ENSP00000380610	ENSG00000125245	GPR18	ENSPKIP00000020167	ENSPKIG00000005047	gpr18
ENSP00000558755	ENSG00000102760	RGCC	ENSPKIP00000022945	ENSPKIG00000006755	rgcc
ENSP00000483918	ENSG00000273564	ENTREP2	ENSPKIP00000038360	ENSPKIG00000016160	ENTREP2
ENSP00000460944	ENSG00000262145	ATP23	ENSPKIP00000041604	ENSPKIG00000018089	atp23
ENSP00000527592	ENSG00000174032	SLC25A30	ENSPKIP00000026018	ENSPKIG00000008652	slc25a14
ENSP00000479117	ENSG00000275568	ARHGAP11A	ENSPKIP00000015996	ENSPKIG00000002508	arhgap11a
ENSP00000796526	ENSG00000160208	RRP1B	ENSPKIP00000017563	ENSPKIG00000003422	
ENSP00000290200	ENSG00000243646	IL10RB	ENSPKIP00000021033	ENSPKIG00000005595	IL10RB
ENSP00000632708	ENSG00000136098	NEK3	ENSPKIP00000016058	ENSPKIG00000002547	NEK3
ENSP00000482615	ENSG00000277614	SCG5	ENSPKIP00000015929	ENSPKIG00000002463	scg5
ENSP00000286835	ENSG00000156304	SCAF4	ENSPKIP00000005925	ENSPKIG00000022408	scaf4a
ENSP00000325776	ENSG00000180440	SERTM1	ENSPKIP00000007445	ENSPKIG00000023327	SERTM1
ENSP00000561183	ENSG00000120686	UFM1	ENSPKIP00000006985	ENSPKIG00000023050	ufm1
ENSP00000481547	ENSG00000274296	DECR2	ENSPKIP00000022220	ENSPKIG00000006319	decr2
ENSP00000573460	ENSG00000165487	MICU2	ENSPKIP00000034258	ENSPKIG00000013649	micu2
ENSP00000553090	ENSG00000188342	GTF2F2	ENSPKIP00000033575	ENSPKIG00000013231	gtf2f2b
ENSP00000369210	ENSG00000120669	SOHLH2	ENSPKIP00000014735	ENSPKIG00000001698	
ENSP00000701338	ENSG00000157617	C2CD2	ENSPKIP00000002993	ENSPKIG00000020677	c2cd2
ENSP00000291582	ENSG00000160224	AIRE	ENSPKIP00000017360	ENSPKIG00000003305	aire
ENSP00000382092	ENSG00000159261	CLDN14	ENSPKIP00000004026	ENSPKIG00000021295	CLDN14
ENSP00000291691	ENSG00000160298	C21orf58	ENSPKIP00000027891	ENSPKIG00000009752	zgc:112416
ENSP00000382971	ENSG00000154723	ATP5PF	ENSPKIP00000032582	ENSPKIG00000012625	atp5pf
ENSP00000483908	ENSG00000278787	UBR7	ENSPKIP00000020813	ENSPKIG00000005459	UBR7
ENSP00000481874	ENSG00000276838	SERPINF2	ENSPKIP00000032244	ENSPKIG00000012411	serpinf2a
ENSP00000480784	ENSG00000277033	QTGAL	ENSPKIP00000021357	ENSPKIG00000005795	qtgal
ENSP00000512890	ENSG00000182670	TTC3	ENSPKIP00000035313	ENSPKIG00000014318	ttc3
ENSP00000478198	ENSG00000276781	CHGA	ENSPKIP00000008284	ENSPKIG00000023847	chga
ENSP00000486067	ENSG00000277377	SERPINA1	ENSPKIP00000006382	ENSPKIG00000022688	serpina1l
ENSP00000540282	ENSG00000184497	TMEM255B	ENSPKIP00000027151	ENSPKIG00000009335	
ENSP00000495664	ENSG00000136143	SUCLA2	ENSPKIP00000001865	ENSPKIG00000019986	SUCLA2
ENSP00000298248	ENSG00000165475	CRYL1	ENSPKIP00000015108	ENSPKIG00000001934	cryl1
ENSP00000496481	ENSG00000136104	RNASEH2B	ENSPKIP00000033832	ENSPKIG00000013386	rnaseh2b
ENSP00000481426	ENSG00000273686	B2M	ENSPKIP00000011925	ENSPKIG00000018342	
ENSP00000348299	ENSG00000204977	TRIM13	ENSPKIP00000033765	ENSPKIG00000013357	trim13
ENSP00000312631	ENSG00000173404	INSM1	ENSPKIP00000004604	ENSPKIG00000021638	insm1a
ENSP00000482916	ENSG00000284776		ENSPKIP00000022216	ENSPKIG00000006316	dtd1
ENSP00000366845	ENSG00000188243	COMMD6	ENSPKIP00000020956	ENSPKIG00000005549	commd6
ENSP00000243911	ENSG00000124089	MC3R	ENSPKIP00000022814	ENSPKIG00000006652	mc3r
ENSP00000480998	ENSG00000125533	BHLHE23	ENSPKIP00000020070	ENSPKIG00000004993	bhlhe23
ENSP00000616042	ENSG00000154832	CXXC1	ENSPKIP00000008319	ENSPKIG00000023833	cxxc1a
ENSP00000428316	ENSG00000253309	SERPINE3	ENSPKIP00000002566	ENSPKIG00000020404	serpine3
ENSP00000365351	ENSG00000198542	ITGBL1	ENSPKIP00000019358	ENSPKIG00000004552	itgbl1
ENSP00000246081	ENSG00000125879	OTOR	ENSPKIP00000020502	ENSPKIG00000005251	OTOR
ENSP00000363529	ENSG00000125998	FAM83C	ENSPKIP00000007294	ENSPKIG00000023250	fam83c
ENSP00000454021	ENSG00000259399	TGIF2-RAB5IF	ENSPKIP00000021352	ENSPKIG00000005782	rab5if
ENSP00000369647	ENSG00000101200	AVP	ENSPKIP00000000669	ENSPKIG00000019246	oxt
ENSP00000302579	ENSG00000136155	SCEL	ENSPKIP00000022492	ENSPKIG00000006445	
ENSP00000362410	ENSG00000204103	MAFB	ENSPKIP00000021142	ENSPKIG00000005667	mafba
ENSP00000484056	ENSG00000247315	ZCCHC3	ENSPKIP00000037968	ENSPKIG00000015947	
ENSP00000244051	ENSG00000124217	MOCS3	ENSPKIP00000004088	ENSPKIG00000021324	MOCS3
ENSP00000347646	ENSG00000177732	SOX12	ENSPKIP00000039801	ENSPKIG00000017022	sox12
ENSP00000490240	ENSG00000124203	ZNF831	ENSPKIP00000020690	ENSPKIG00000005375	
ENSP00000279028	ENSG00000149635	OCSTAMP	ENSPKIP00000022582	ENSPKIG00000006534	ocstamp
ENSP00000396747	ENSG00000124227	ANKRD60	ENSPKIP00000018815	ENSPKIG00000004240	ANKRD60
ENSP00000498370	ENSG00000177150	FAM210A	ENSPKIP00000040359	ENSPKIG00000017355	FAM210A
ENSP00000633646	ENSG00000074695	LMAN1	ENSPKIP00000022844	ENSPKIG00000006686	lman1
ENSP00000369372	ENSG00000177324	BEND2	ENSPKIP00000004552	ENSPKIG00000021618	zgc:113423
ENSP00000368813	ENSG00000185915	KLHL34	ENSPKIP00000032411	ENSPKIG00000012518	KLHL34
ENSP00000420037	ENSG00000185808	PIGP	ENSPKIP00000035386	ENSPKIG00000014365	pigp
ENSP00000360035	ENSG00000132825	PPP1R3D	ENSPKIP00000020835	ENSPKIG00000005481	ppp1r3db
ENSP00000218436	ENSG00000102313	ITIH6	ENSPKIP00000009358	ENSPKIG00000024491	itih6
ENSP00000394757	ENSG00000101493	ZNF516	ENSPKIP00000041677	ENSPKIG00000018138	
ENSP00000256857	ENSG00000134443	GRP	ENSPKIP00000022757	ENSPKIG00000006645	
ENSP00000291554	ENSG00000160202	CRYAA	ENSPKIP00000030463	ENSPKIG00000011275	cryaa
ENSP00000510350	ENSG00000174448	STARD6	ENSPKIP00000009602	ENSPKIG00000024651	STARD6
ENSP00000520773	ENSG00000172216	CEBPB	ENSPKIP00000023114	ENSPKIG00000006865	cebpb
ENSP00000520774	ENSG00000293164		ENSPKIP00000029933	ENSPKIG00000010967	tspy
ENSP00000599206	ENSG00000080986	NDC80	ENSPKIP00000005507	ENSPKIG00000022149	ndc80
ENSP00000510271	ENSG00000079101	CLUL1	ENSPKIP00000029791	ENSPKIG00000010884	clul1
ENSP00000372160	ENSG00000206052	DOK6	ENSPKIP00000022315	ENSPKIG00000006364	dok6
ENSP00000434235	ENSG00000288683		ENSPKIP00000012995	ENSPKIG00000000583	pex26
ENSP00000364003	ENSG00000184675	AMER1	ENSPKIP00000033382	ENSPKIG00000013117	amer1
ENSP00000291536	ENSG00000160188	RSPH1	ENSPKIP00000014439	ENSPKIG00000001483	RSPH1
ENSP00000483030	ENSG00000277936	MRPL45	ENSPKIP00000024206	ENSPKIG00000007551	mrpl45
ENSP00000344504	ENSG00000189060	H1-0	ENSPKIP00000022686	ENSPKIG00000006581	h1-0
ENSP00000328671	ENSG00000160193	WDR4	ENSPKIP00000017528	ENSPKIG00000003403	wdr4
ENSP00000488051	ENSG00000276914	CEP20	ENSPKIP00000029680	ENSPKIG00000010838	cep20
ENSP00000512282	ENSG00000188263	IL17REL	ENSPKIP00000036660	ENSPKIG00000015143	
ENSP00000249016	ENSG00000128285	MCHR1	ENSPKIP00000007886	ENSPKIG00000023612	mchr1b
ENSP00000497003	ENSG00000184058	TBX1	ENSPKIP00000029929	ENSPKIG00000010974	tbx1
ENSP00000328992	ENSG00000159086	PAXBP1	ENSPKIP00000005039	ENSPKIG00000021866	paxbp1
ENSP00000498972	ENSG00000165370	GPR101	ENSPKIP00000040898	ENSPKIG00000017683	gpr101
ENSP00000648887	ENSG00000159131	GART	ENSPKIP00000029780	ENSPKIG00000010876	gart
ENSP00000483858	ENSG00000278823	BMERB1	ENSPKIP00000030606	ENSPKIG00000011394	
ENSP00000490747	ENSG00000285025	MIURF	ENSPKIP00000023944	ENSPKIG00000007395	
ENSP00000282041	ENSG00000152223	EPG5	ENSPKIP00000000047	ENSPKIG00000018856	
ENSP00000488050	ENSG00000275911	NDE1	ENSPKIP00000030461	ENSPKIG00000011302	nde1
ENSP00000360497	ENSG00000125352	RNF113A	ENSPKIP00000039449	ENSPKIG00000016796	rnf113a
ENSP00000481504	ENSG00000278574	ZNHIT3	ENSPKIP00000039004	ENSPKIG00000016556	znhit3
ENSP00000541645	ENSG00000101782	RIOK3	ENSPKIP00000041966	ENSPKIG00000018297	riok3
ENSP00000478520	ENSG00000274853	MRM1	ENSPKIP00000024378	ENSPKIG00000007654	mrm1
ENSP00000490931	ENSG00000236444	UBE2L5	ENSPKIP00000033398	ENSPKIG00000013124	
ENSP00000528642	ENSG00000126218	F10	ENSPKIP00000027810	ENSPKIG00000009705	f10
ENSP00000508182	ENSG00000147262	GPR119	ENSPKIP00000025962	ENSPKIG00000008626	GPR119
ENSP00000481894	ENSG00000276072	AATF	ENSPKIP00000013338	ENSPKIG00000000808	aatf
ENSP00000369840	ENSG00000175664	TEX26	ENSPKIP00000013009	ENSPKIG00000000594	
ENSP00000481061	ENSG00000276432	RDM1	ENSPKIP00000041388	ENSPKIG00000017961	rdm1
ENSP00000370420	ENSG00000205642	VCX3B	ENSPKIP00000000980	ENSPKIG00000019440	
ENSP00000345029	ENSG00000185448	FAM47A	ENSPKIP00000009127	ENSPKIG00000024351	
ENSP00000369320	ENSG00000102104	RS1	ENSPKIP00000004867	ENSPKIG00000021783	rs1a
ENSP00000261332	ENSG00000172466	ZNF24	ENSPKIP00000037535	ENSPKIG00000015682	
ENSP00000363643	ENSG00000186912	P2RY4	ENSPKIP00000041783	ENSPKIG00000018197	P2RY4
ENSP00000256429	ENSG00000134046	MBD2	ENSPKIP00000037667	ENSPKIG00000015756	mbd2
ENSP00000767719	ENSG00000152234	ATP5F1A	ENSPKIP00000002633	ENSPKIG00000020441	atp5fa1
ENSP00000484950	ENSG00000274768	CISD3	ENSPKIP00000024183	ENSPKIG00000007519	
ENSP00000255305	ENSG00000132953	XPO4	ENSPKIP00000015172	ENSPKIG00000001940	xpo4
ENSP00000596502	ENSG00000151849	CPAP	ENSPKIP00000032214	ENSPKIG00000012395	cpap
ENSP00000460799	ENSG00000261972	CES5A	ENSPKIP00000018307	ENSPKIG00000003830	ces3
ENSP00000480040	ENSG00000276833	TAF15	ENSPKIP00000035370	ENSPKIG00000014354	taf15
ENSP00000483747	ENSG00000275397	DHRS11	ENSPKIP00000033692	ENSPKIG00000013307	dhrs11a
ENSP00000252677	ENSG00000130385	BMP15	ENSPKIP00000014432	ENSPKIG00000001503	bmp15
ENSP00000269601	ENSG00000141759	TXNL4A	ENSPKIP00000016533	ENSPKIG00000002824	txnl4a
ENSP00000483956	ENSG00000275903	PSMB3	ENSPKIP00000023703	ENSPKIG00000007218	psmb3
ENSP00000622448	ENSG00000134884	ARGLU1	ENSPKIP00000020916	ENSPKIG00000005524	arglu1a
ENSP00000267273	ENSG00000139780	METTL21C	ENSPKIP00000026519	ENSPKIG00000008979	mettl21cb
ENSP00000597103	ENSG00000139835	GRTP1	ENSPKIP00000027500	ENSPKIG00000009522	grtp1a
ENSP00000344331	ENSG00000187773	DIPK1C	ENSPKIP00000028927	ENSPKIG00000010374	DIPK1C
ENSP00000334813	ENSG00000134438	RAX	ENSPKIP00000022781	ENSPKIG00000006655	rx3
ENSP00000262126	ENSG00000101745	ANKRD12	ENSPKIP00000026253	ENSPKIG00000008814	ankrd12
ENSP00000488242	ENSG00000274636	GLIS2	ENSPKIP00000022246	ENSPKIG00000006334	glis2b
ENSP00000488047	ENSG00000282228	PAM16	ENSPKIP00000022221	ENSPKIG00000006323	pam16
ENSP00000490181	ENSG00000102805	CLN5	ENSPKIP00000033939	ENSPKIG00000013477	cln5
ENSP00000370055	ENSG00000122042	UBL3	ENSPKIP00000037781	ENSPKIG00000015829	ubl3a
ENSP00000311984	ENSG00000213995	NAXD	ENSPKIP00000027721	ENSPKIG00000009650	naxd
ENSP00000683992	ENSG00000101624	CEP76	ENSPKIP00000039929	ENSPKIG00000017067	cep76
ENSP00000258613	ENSG00000136114	THSD1	ENSPKIP00000004477	ENSPKIG00000021565	
ENSP00000508137	ENSG00000167216	KATNAL2	ENSPKIP00000006763	ENSPKIG00000022906	KATNAL2
ENSP00000488916	ENSG00000282830	CALB2	ENSPKIP00000016141	ENSPKIG00000002590	CALB2
ENSP00000787704	ENSG00000151778	SERP2	ENSPKIP00000023998	ENSPKIG00000007422	serp2
ENSP00000365596	ENSG00000169508	GPR183	ENSPKIP00000034881	ENSPKIG00000014047	gpr183b
ENSP00000439902	ENSG00000139618	BRCA2	ENSPKIP00000013632	ENSPKIG00000000986	brca2
ENSP00000488893	ENSG00000282013	RPH3AL	ENSPKIP00000029936	ENSPKIG00000010995	rph3al
ENSP00000479494	ENSG00000126226	PCID2	ENSPKIP00000027725	ENSPKIG00000009646	pcid2
ENSP00000617771	ENSG00000101557	USP14	ENSPKIP00000021651	ENSPKIG00000005954	usp14
ENSP00000481626	ENSG00000152242	ARK2N	ENSPKIP00000002455	ENSPKIG00000020329	ark2n
ENSP00000521128	ENSG00000167220	HDHD2	ENSPKIP00000006708	ENSPKIG00000022879	hdhd2
ENSP00000508153	ENSG00000005810	MYCBP2	ENSPKIP00000022316	ENSPKIG00000006265	mycbp2
ENSP00000794597	ENSG00000101670	LIPG	ENSPKIP00000035568	ENSPKIG00000014481	lipg
ENSP00000493716	ENSG00000125266	EFNB2	ENSPKIP00000020880	ENSPKIG00000005503	EFNB2
ENSP00000535887	ENSG00000153339	TRAPPC8	ENSPKIP00000024480	ENSPKIG00000007667	trappc8
ENSP00000602983	ENSG00000154640	BTG3	ENSPKIP00000002836	ENSPKIG00000020578	btg3
ENSP00000520998	ENSG00000130589	HELZ2	ENSPKIP00000021724	ENSPKIG00000005935	helz2a
ENSP00000502087	ENSG00000159267	HLCS	ENSPKIP00000015351	ENSPKIG00000002094	hlcs
ENSP00000437737	ENSG00000102468	HTR2A	ENSPKIP00000001889	ENSPKIG00000020003	htr2ab
ENSP00000561230	ENSG00000165556	CDX2	ENSPKIP00000002526	ENSPKIG00000020387	
ENSP00000331734	ENSG00000183145	RIPPLY3	ENSPKIP00000035412	ENSPKIG00000014381	ripply3
ENSP00000269844	ENSG00000141956	PRDM15	ENSPKIP00000002956	ENSPKIG00000020637	PRDM15
ENSP00000349571	ENSG00000136153	LMO7	ENSPKIP00000021559	ENSPKIG00000005696	LMO7
ENSP00000550962	ENSG00000075643	MOCOS	ENSPKIP00000003281	ENSPKIG00000020825	MOCOS
ENSP00000621500	ENSG00000119537	KDSR	ENSPKIP00000016795	ENSPKIG00000002968	kdsr
ENSP00000529538	ENSG00000173638	SLC19A1	ENSPKIP00000000706	ENSPKIG00000019272	slc19a1
ENSP00000430858	ENSG00000276418		ENSPKIP00000023115	ENSPKIG00000006872	tpd52
ENSP00000454445	ENSG00000258677		ENSPKIP00000022704	ENSPKIG00000006608	ube2wa
ENSP00000291560	ENSG00000160207	HSF2BP	ENSPKIP00000027491	ENSPKIG00000009536	HSF2BP
ENSP00000269187	ENSG00000141424	SLC39A6	ENSPKIP00000023193	ENSPKIG00000006915	slc39a6
ENSP00000520912	ENSG00000125810	CD93	ENSPKIP00000038438	ENSPKIG00000016217	
ENSP00000318799	ENSG00000180828	BHLHE22	ENSPKIP00000025331	ENSPKIG00000008248	bhlhe22
ENSP00000368612	ENSG00000102763	VWA8	ENSPKIP00000023256	ENSPKIG00000006831	vwa8
ENSP00000366557	ENSG00000101343	CRNKL1	ENSPKIP00000039943	ENSPKIG00000017093	crnkl1
ENSP00000367299	ENSG00000136100	VPS36	ENSPKIP00000004631	ENSPKIG00000021597	vps36
ENSP00000329858	ENSG00000183665	TYW2	ENSPKIP00000019515	ENSPKIG00000004640	tyw2
ENSP00000361636	ENSG00000101470	TNNC2	ENSPKIP00000007641	ENSPKIG00000023457	tnnc2.1
ENSP00000666067	ENSG00000244687	UBE2V1	ENSPKIP00000022998	ENSPKIG00000006795	
ENSP00000320089	ENSG00000180053	NKX2-6	ENSPKIP00000009706	ENSPKIG00000024712	
