Dre Gene ID	Dre Protein ID	Dre Gene Name	Eel Gene ID	Eel Protein ID	Eel Gene Name
ENSDARP00000122107	ENSDARG00000036943	golph3l	ENSEEEP00000017693	ENSEEEG00000008736	GOLPH3L
ENSDARP00000129532	ENSDARG00000002355	shpk	ENSEEEP00000050437	ENSEEEG00000023713	shpk
ENSDARP00000119382	ENSDARG00000087798	pdyn	ENSEEEP00000062628	ENSEEEG00000027449	PDYN
ENSDARP00000136614	ENSDARG00000101106	si:ch73-109d9.3	ENSEEEP00000057524	ENSEEEG00000024679	si:ch73-109d9.3
ENSDARP00000124668	ENSDARG00000045443	agtr1b	ENSEEEP00000038814	ENSEEEG00000018414	agtr1b
ENSDARP00000141103	ENSDARG00000101085	ss18l2	ENSEEEP00000058374	ENSEEEG00000002167	SS18L2
ENSDARP00000024706	ENSDARG00000007250	use1	ENSEEEP00000057172	ENSEEEG00000026203	USE1
ENSDARP00000005897	ENSDARG00000006560	irf4a	ENSEEEP00000051484	ENSEEEG00000024171	irf4a
ENSDARP00000109087	ENSDARG00000063574	mtg2	ENSEEEP00000054223	ENSEEEG00000027276	MTG2
ENSDARP00000107936	ENSDARG00000086471	pkig	ENSEEEP00000050627	ENSEEEG00000023800	
ENSDARP00000094402	ENSDARG00000002377	mief2	ENSEEEP00000039131	ENSEEEG00000018587	MIEF2
ENSDARP00000123964	ENSDARG00000052129	boka	ENSEEEP00000053080	ENSEEEG00000027754	boka
ENSDARP00000127626	ENSDARG00000098029	ciroz	ENSEEEP00000058683	ENSEEEG00000026293	
ENSDARP00000077877	ENSDARG00000059773	srcin1a	ENSEEEP00000008712	ENSEEEG00000004521	SRCIN1
ENSDARP00000073739	ENSDARG00000056740	tmeff1b	ENSEEEP00000033582	ENSEEEG00000015976	tmeff1b
ENSDARP00000098832	ENSDARG00000077253	alkbh6	ENSEEEP00000046649	ENSEEEG00000021967	ALKBH6
ENSDARP00000130469	ENSDARG00000100694	tnnt2b	ENSEEEP00000014483	ENSEEEG00000007207	tnnt2b
ENSDARP00000112840	ENSDARG00000093799	setbp1	ENSEEEP00000053593	ENSEEEG00000027241	
ENSDARP00000004251	ENSDARG00000018871	henmt1	ENSEEEP00000004546	ENSEEEG00000002337	HENMT1
ENSDARP00000134216	ENSDARG00000102608	zgc:109986	ENSEEEP00000008378	ENSEEEG00000004371	zgc:109986
ENSDARP00000016733	ENSDARG00000003818	prkag1	ENSEEEP00000004840	ENSEEEG00000002461	prkag1
ENSDARP00000017340	ENSDARG00000019156	haus5	ENSEEEP00000037223	ENSEEEG00000017696	HAUS5
ENSDARP00000044114	ENSDARG00000034734	med6	ENSEEEP00000060704	ENSEEEG00000000536	MED6
ENSDARP00000132315	ENSDARG00000079283	si:ch211-247j9.1	ENSEEEP00000062959	ENSEEEG00000024869	si:ch211-247j9.1
ENSDARP00000118427	ENSDARG00000021913	ak9	ENSEEEP00000027149	ENSEEEG00000013102	
ENSDARP00000130726	ENSDARG00000105120	gab2	ENSEEEP00000043632	ENSEEEG00000020625	GAB2
ENSDARP00000116310	ENSDARG00000027141	ube2l3b	ENSEEEP00000018805	ENSEEEG00000009242	ube2l3b
ENSDARP00000127975	ENSDARG00000093111	si:ch211-209l18.2	ENSEEEP00000005823	ENSEEEG00000003088	
ENSDARP00000142379	ENSDARG00000039218	gpr101	ENSEEEP00000052085	ENSEEEG00000024430	gpr101
ENSDARP00000025545	ENSDARG00000020449	yipf3	ENSEEEP00000026281	ENSEEEG00000012702	YIPF3
ENSDARP00000056654	ENSDARG00000038792	klf17	ENSEEEP00000055485	ENSEEEG00000016038	klf17
ENSDARP00000074879	ENSDARG00000044015	gfra2b	ENSEEEP00000017314	ENSEEEG00000008553	gfra2b
ENSDARP00000143276	ENSDARG00000003206	chchd6a	ENSEEEP00000052031	ENSEEEG00000024413	chchd6a
ENSDARP00000124659	ENSDARG00000078686	arl8a	ENSEEEP00000064629	ENSEEEG00000015207	arl3l2
ENSDARP00000003814	ENSDARG00000009253	rtraf	ENSEEEP00000052735	ENSEEEG00000027592	RTRAF
ENSDARP00000114101	ENSDARG00000062549	acmsd	ENSEEEP00000048229	ENSEEEG00000022707	ACMSD
ENSDARP00000145630	ENSDARG00000037262	cdkn2a/b	ENSEEEP00000028020	ENSEEEG00000013484	CDKN2B
ENSDARP00000054688	ENSDARG00000037555	atoh8	ENSEEEP00000022774	ENSEEEG00000011043	ATOH8
ENSDARP00000056892	ENSDARG00000038976	pdcd7	ENSEEEP00000056510	ENSEEEG00000025762	PDCD7
ENSDARP00000093709	ENSDARG00000059351	hnrnpa3	ENSEEEP00000021336	ENSEEEG00000010394	HNRNPA3
ENSDARP00000028290	ENSDARG00000024219	cdk5rap2	ENSEEEP00000056536	ENSEEEG00000000255	CDK5RAP2
ENSDARP00000132430	ENSDARG00000102612	slc15a4	ENSEEEP00000015427	ENSEEEG00000007657	SLC15A4
ENSDARP00000120631	ENSDARG00000075818	dok2	ENSEEEP00000050734	ENSEEEG00000023837	DOK2
ENSDARP00000116348	ENSDARG00000055560	p2ry8	ENSEEEP00000047259	ENSEEEG00000022242	P2RY8
ENSDARP00000030499	ENSDARG00000024771	slc24a5	ENSEEEP00000032639	ENSEEEG00000015561	SLC24A5
ENSDARP00000136938	ENSDARG00000092855	srbd1	ENSEEEP00000021354	ENSEEEG00000010406	SRBD1
ENSDARP00000135162	ENSDARG00000100531	abhd14b	ENSEEEP00000014400	ENSEEEG00000007167	ABHD14B
ENSDARP00000072270	ENSDARG00000055445	slc22a15	ENSEEEP00000061194	ENSEEEG00000025351	SLC22A15
ENSDARP00000131054	ENSDARG00000098075	sh3bgrl3	ENSEEEP00000017349	ENSEEEG00000008574	SH3BGRL3
ENSDARP00000117940	ENSDARG00000069595	prr36a	ENSEEEP00000063264	ENSEEEG00000026210	si:ch211-214c7.4
ENSDARP00000118847	ENSDARG00000055901	steap4	ENSEEEP00000040500	ENSEEEG00000019184	steap4
ENSDARP00000045815	ENSDARG00000023111	plg	ENSEEEP00000030371	ENSEEEG00000014538	PLG
ENSDARP00000123498	ENSDARG00000040930	deptor	ENSEEEP00000026880	ENSEEEG00000012975	DEPTOR
ENSDARP00000143305	ENSDARG00000057227	matcap2	ENSEEEP00000001473	ENSEEEG00000000954	hyal2b
ENSDARP00000094997	ENSDARG00000043431	qtgal	ENSEEEP00000043395	ENSEEEG00000020506	B3GNTL1
ENSDARP00000123099	ENSDARG00000029905	phyhd1	ENSEEEP00000040012	ENSEEEG00000018972	PHYHD1
ENSDARP00000104107	ENSDARG00000077082	agtrap	ENSEEEP00000027558	ENSEEEG00000013283	AGTRAP
ENSDARP00000119233	ENSDARG00000077581	zzz3	ENSEEEP00000023966	ENSEEEG00000011639	ZZZ3
ENSDARP00000017949	ENSDARG00000018593	parp16	ENSEEEP00000017449	ENSEEEG00000008633	PARP16
ENSDARP00000069783	ENSDARG00000002509	zgc:153911	ENSEEEP00000009549	ENSEEEG00000004884	zgc:153911
ENSDARP00000059263	ENSDARG00000054031	mxd4	ENSEEEP00000037068	ENSEEEG00000017604	MXD4
ENSDARP00000117225	ENSDARG00000062987	tyw1	ENSEEEP00000054608	ENSEEEG00000025719	tyw1
ENSDARP00000058335	ENSDARG00000039880	arpp19b	ENSEEEP00000022847	ENSEEEG00000011084	arpp19b
ENSDARP00000115796	ENSDARG00000035860	rps28	ENSEEEP00000015990	ENSEEEG00000007915	RPS28
ENSDARP00000029079	ENSDARG00000023298	rps27.1	ENSEEEP00000010549	ENSEEEG00000005260	RPS27
ENSDARP00000116754	ENSDARG00000002219	si:dkey-103j14.5	ENSEEEP00000059538	ENSEEEG00000028874	si:dkey-103j14.5
ENSDARP00000103369	ENSDARG00000079391	mrpl42	ENSEEEP00000062811	ENSEEEG00000008265	mrpl42
ENSDARP00000058545	ENSDARG00000040021	ebag9	ENSEEEP00000052453	ENSEEEG00000024567	EBAG9
ENSDARP00000146252	ENSDARG00000013266	colec11	ENSEEEP00000003588	ENSEEEG00000001964	COLEC11
ENSDARP00000054091	ENSDARG00000037196	arid5b	ENSEEEP00000032254	ENSEEEG00000015386	ARID5B
ENSDARP00000109123	ENSDARG00000032264	mybl2b	ENSEEEP00000022825	ENSEEEG00000011075	mybl2b
ENSDARP00000136332	ENSDARG00000025325	ccsapa	ENSEEEP00000039487	ENSEEEG00000018756	ccsapa
ENSDARP00000099267	ENSDARG00000040643	ccr10	ENSEEEP00000062613	ENSEEEG00000028095	CCR10
ENSDARP00000004202	ENSDARG00000017422	apmap	ENSEEEP00000063449	ENSEEEG00000028636	APMAP
ENSDARP00000130272	ENSDARG00000063390	pvrl2l	ENSEEEP00000057790	ENSEEEG00000022513	pvrl2l
ENSDARP00000062698	ENSDARG00000042726	grb7	ENSEEEP00000001606	ENSEEEG00000001027	GRB7
ENSDARP00000129550	ENSDARG00000055472	nubp1	ENSEEEP00000045226	ENSEEEG00000021349	NUBP1
ENSDARP00000108848	ENSDARG00000088293	doc2b	ENSEEEP00000063771	ENSEEEG00000004454	DOC2B
ENSDARP00000141837	ENSDARG00000101050	tmc8	ENSEEEP00000046227	ENSEEEG00000021775	TMC8
ENSDARP00000069903	ENSDARG00000053383	rprma	ENSEEEP00000025494	ENSEEEG00000012376	rprma
ENSDARP00000073959	ENSDARG00000056921	ankk1	ENSEEEP00000033946	ENSEEEG00000016169	ankk1
ENSDARP00000114812	ENSDARG00000042057	trmt1l	ENSEEEP00000010112	ENSEEEG00000005125	TRMT1L
ENSDARP00000129811	ENSDARG00000088764	lyplal1	ENSEEEP00000014871	ENSEEEG00000007404	LYPLAL1
ENSDARP00000049146	ENSDARG00000033754	rbm48	ENSEEEP00000043687	ENSEEEG00000020652	RBM48
ENSDARP00000131636	ENSDARG00000021702	pdcd4a	ENSEEEP00000037084	ENSEEEG00000017612	pdcd4a
ENSDARP00000105424	ENSDARG00000009754	zc3h11a	ENSEEEP00000032514	ENSEEEG00000015502	zc3h11a
ENSDARP00000086448	ENSDARG00000063155	dcaf12	ENSEEEP00000031482	ENSEEEG00000015030	DCAF12
ENSDARP00000062855	ENSDARG00000042825	rnf169	ENSEEEP00000049936	ENSEEEG00000023475	
ENSDARP00000078619	ENSDARG00000060036	aimp1a	ENSEEEP00000001130	ENSEEEG00000000758	aimp1a
ENSDARP00000024846	ENSDARG00000020926	creb3l3l	ENSEEEP00000043484	ENSEEEG00000020559	creb3l3l
ENSDARP00000124595	ENSDARG00000019098	cd82a	ENSEEEP00000042020	ENSEEEG00000019855	cd82a
ENSDARP00000055324	ENSDARG00000037962	psmb7	ENSEEEP00000021255	ENSEEEG00000010340	PSMB7
ENSDARP00000091381	ENSDARG00000069245	matn3a	ENSEEEP00000030001	ENSEEEG00000014383	matn3a
ENSDARP00000041303	ENSDARG00000009350	atg3	ENSEEEP00000012469	ENSEEEG00000006247	ATG3
ENSDARP00000131340	ENSDARG00000100139	si:ch211-113d22.2	ENSEEEP00000028074	ENSEEEG00000013512	si:ch211-113d22.2
ENSDARP00000126936	ENSDARG00000076966	pagr1	ENSEEEP00000008166	ENSEEEG00000004256	PAGR1
ENSDARP00000131876	ENSDARG00000042252	eif4h	ENSEEEP00000049944	ENSEEEG00000023479	EIF4H
ENSDARP00000117816	ENSDARG00000018898	zfand5a	ENSEEEP00000029029	ENSEEEG00000013925	zfand5a
ENSDARP00000066582	ENSDARG00000004274	zgc:112496	ENSEEEP00000006695	ENSEEEG00000003549	zgc:112496
ENSDARP00000116491	ENSDARG00000018008	mdh1b	ENSEEEP00000006629	ENSEEEG00000003513	MDH1B
ENSDARP00000137947	ENSDARG00000103802	btbd8	ENSEEEP00000057451	ENSEEEG00000026836	
ENSDARP00000089712	ENSDARG00000052164	znf507	ENSEEEP00000042835	ENSEEEG00000020208	ZNF507
ENSDARP00000067842	ENSDARG00000046141	zgc:162025	ENSEEEP00000050765	ENSEEEG00000023850	zgc:162025
ENSDARP00000052382	ENSDARG00000036080	cd81a	ENSEEEP00000006200	ENSEEEG00000003307	cd81a
ENSDARP00000096934	ENSDARG00000071679	mydgf	ENSEEEP00000021261	ENSEEEG00000010363	MYDGF
ENSDARP00000119527	ENSDARG00000086457	tnfaip8l1	ENSEEEP00000021264	ENSEEEG00000010364	TNFAIP8L1
ENSDARP00000043068	ENSDARG00000032552	marchf5	ENSEEEP00000053743	ENSEEEG00000025034	march5
ENSDARP00000115422	ENSDARG00000013076	bmi1b	ENSEEEP00000026570	ENSEEEG00000012854	bmi1b
ENSDARP00000096296	ENSDARG00000071396	timm23a	ENSEEEP00000011707	ENSEEEG00000005894	timm23a
ENSDARP00000083002	ENSDARG00000061791	nyx	ENSEEEP00000015535	ENSEEEG00000007715	NYX
ENSDARP00000083038	ENSDARG00000011240	ift46	ENSEEEP00000031860	ENSEEEG00000015214	IFT46
ENSDARP00000081428	ENSDARG00000061185	naa60	ENSEEEP00000057566	ENSEEEG00000025677	nat15
ENSDARP00000090088	ENSDARG00000045857	cebpz	ENSEEEP00000019661	ENSEEEG00000009629	CEBPZ
ENSDARP00000070911	ENSDARG00000077299	yars2	ENSEEEP00000037395	ENSEEEG00000017777	YARS2
ENSDARP00000067396	ENSDARG00000033134	ndufaf7	ENSEEEP00000019697	ENSEEEG00000009632	NDUFAF7
ENSDARP00000119462	ENSDARG00000002994	itpkca	ENSEEEP00000005763	ENSEEEG00000003043	itpkca
ENSDARP00000078852	ENSDARG00000060124	timm17b	ENSEEEP00000004521	ENSEEEG00000002355	TIMM17B
ENSDARP00000067426	ENSDARG00000045874	yeats4	ENSEEEP00000020197	ENSEEEG00000009857	YEATS4
ENSDARP00000065984	ENSDARG00000044895	fmoda	ENSEEEP00000037771	ENSEEEG00000017956	fmoda
ENSDARP00000060904	ENSDARG00000041546	gypc	ENSEEEP00000059315	ENSEEEG00000028953	GYPC
ENSDARP00000067173	ENSDARG00000045691	zcrb1	ENSEEEP00000051446	ENSEEEG00000024149	ZCRB1
ENSDARP00000003198	ENSDARG00000017675	utp4	ENSEEEP00000031086	ENSEEEG00000014877	UTP4
ENSDARP00000125377	ENSDARG00000096118	ost4	ENSEEEP00000043759	ENSEEEG00000020686	OST4
ENSDARP00000137037	ENSDARG00000101715	arsg	ENSEEEP00000023812	ENSEEEG00000011549	ARSG
ENSDARP00000015151	ENSDARG00000022918	tbcc	ENSEEEP00000011696	ENSEEEG00000005889	TBCC
ENSDARP00000090057	ENSDARG00000068602	dalrd3	ENSEEEP00000045608	ENSEEEG00000021519	DALRD3
ENSDARP00000103670	ENSDARG00000079377	arhgef38	ENSEEEP00000062937	ENSEEEG00000022649	arhgef38
ENSDARP00000014595	ENSDARG00000016345	ncoa5	ENSEEEP00000015652	ENSEEEG00000007755	NCOA5
ENSDARP00000118480	ENSDARG00000091317	hunk	ENSEEEP00000057274	ENSEEEG00000028155	HUNK
ENSDARP00000015397	ENSDARG00000004034	arhgdig	ENSEEEP00000043579	ENSEEEG00000020590	ARHGDIG
ENSDARP00000006108	ENSDARG00000012467	spint1b	ENSEEEP00000014997	ENSEEEG00000007467	spint1b
ENSDARP00000088025	ENSDARG00000067566	sftpbb	ENSEEEP00000009210	ENSEEEG00000004732	sftpbb
ENSDARP00000025586	ENSDARG00000007383	kcnk6	ENSEEEP00000027005	ENSEEEG00000013043	KCNK6
ENSDARP00000075084	ENSDARG00000057887	nts	ENSEEEP00000011805	ENSEEEG00000005944	
ENSDARP00000117953	ENSDARG00000045378	pi15a	ENSEEEP00000020373	ENSEEEG00000009945	pi15a
ENSDARP00000123911	ENSDARG00000074156	sgca	ENSEEEP00000007373	ENSEEEG00000003870	SGCA
ENSDARP00000118262	ENSDARG00000058587	terb1	ENSEEEP00000014239	ENSEEEG00000007078	TERB1
ENSDARP00000003154	ENSDARG00000017860	rgs5b	ENSEEEP00000037169	ENSEEEG00000017661	rgs5b
ENSDARP00000106333	ENSDARG00000067507	kctd8	ENSEEEP00000033823	ENSEEEG00000016100	KCTD8
ENSDARP00000094710	ENSDARG00000070644	ttpal	ENSEEEP00000050628	ENSEEEG00000023801	TTPAL
ENSDARP00000111827	ENSDARG00000037935	aldh16a1	ENSEEEP00000034016	ENSEEEG00000016205	ALDH16A1
ENSDARP00000064109	ENSDARG00000043664	si:dkey-63b1.1	ENSEEEP00000022055	ENSEEEG00000010716	BDKRB2
ENSDARP00000140069	ENSDARG00000101047	rtcb	ENSEEEP00000003387	ENSEEEG00000001893	RTCB
ENSDARP00000140707	ENSDARG00000101217	fam78aa	ENSEEEP00000051434	ENSEEEG00000024140	fam78aa
ENSDARP00000113588	ENSDARG00000088402	rubcnl	ENSEEEP00000022895	ENSEEEG00000011112	RUBCNL
ENSDARP00000118478	ENSDARG00000052361	il15	ENSEEEP00000053182	ENSEEEG00000025294	ENY2
ENSDARP00000004144	ENSDARG00000004580	nmnat2	ENSEEEP00000009053	ENSEEEG00000004665	NMNAT2
ENSDARP00000007394	ENSDARG00000040352	crot	ENSEEEP00000006559	ENSEEEG00000003461	CROT
ENSDARP00000060821	ENSDARG00000095863	afp4	ENSEEEP00000033624	ENSEEEG00000015998	afp4
ENSDARP00000060053	ENSDARG00000040985	itgbl1	ENSEEEP00000004370	ENSEEEG00000002288	ITGBL1
ENSDARP00000124963	ENSDARG00000020610	tnnt2a	ENSEEEP00000057861	ENSEEEG00000023714	tnnt2a
ENSDARP00000088969	ENSDARG00000035471	si:dkey-220k22.1	ENSEEEP00000054609	ENSEEEG00000025909	si:dkey-220k22.1
ENSDARP00000095739	ENSDARG00000071143	si:dkey-208m12.2	ENSEEEP00000047285	ENSEEEG00000022257	
ENSDARP00000069090	ENSDARG00000052701	smpd2b	ENSEEEP00000061740	ENSEEEG00000007204	smpd2b
ENSDARP00000132705	ENSDARG00000100823	selenok	ENSEEEP00000002806	ENSEEEG00000001610	SELENOK
ENSDARP00000117032	ENSDARG00000038793	ccdc24	ENSEEEP00000033619	ENSEEEG00000015996	
ENSDARP00000032986	ENSDARG00000024189	pnocb	ENSEEEP00000062885	ENSEEEG00000026610	pnocb
ENSDARP00000119204	ENSDARG00000059459	si:ch211-283h6.4	ENSEEEP00000008864	ENSEEEG00000004574	C2orf68
ENSDARP00000061554	ENSDARG00000042000	si:ch211-63o20.7	ENSEEEP00000010701	ENSEEEG00000005417	si:ch211-63o20.7
ENSDARP00000109082	ENSDARG00000010601	mtmr10	ENSEEEP00000059978	ENSEEEG00000018401	MTMR10
ENSDARP00000121803	ENSDARG00000078474	myo15ab	ENSEEEP00000039136	ENSEEEG00000018590	
ENSDARP00000141866	ENSDARG00000098228	thrap3b	ENSEEEP00000045026	ENSEEEG00000021253	thrap3b
ENSDARP00000119578	ENSDARG00000009372	diras1b	ENSEEEP00000013217	ENSEEEG00000006624	diras1b
ENSDARP00000052350	ENSDARG00000036064	cnep1r1	ENSEEEP00000039405	ENSEEEG00000018718	CNEP1R1
ENSDARP00000132397	ENSDARG00000098934	rrp7a	ENSEEEP00000020709	ENSEEEG00000010102	RRP7A
ENSDARP00000026184	ENSDARG00000005772	tsr2	ENSEEEP00000011403	ENSEEEG00000005764	TSR2
ENSDARP00000150496	ENSDARG00000103226	dhcr7	ENSEEEP00000037857	ENSEEEG00000017999	DHCR7
ENSDARP00000124005	ENSDARG00000005271	zc3h12aa	ENSEEEP00000051024	ENSEEEG00000023957	ZC3H12A
ENSDARP00000017240	ENSDARG00000009748	dffb	ENSEEEP00000001228	ENSEEEG00000000834	dffb
ENSDARP00000020679	ENSDARG00000002194	rhd	ENSEEEP00000028553	ENSEEEG00000013716	rhd
ENSDARP00000136407	ENSDARG00000101222	lsm10	ENSEEEP00000045020	ENSEEEG00000021247	oscp1a
ENSDARP00000091287	ENSDARG00000069199	zgc:172120	ENSEEEP00000059746	ENSEEEG00000012218	
ENSDARP00000067792	ENSDARG00000016811	ints3	ENSEEEP00000057946	ENSEEEG00000009222	INTS3
ENSDARP00000113453	ENSDARG00000006370	atp6v1h	ENSEEEP00000020572	ENSEEEG00000010035	ATP6V1H
ENSDARP00000120586	ENSDARG00000075853	sh3kbp1	ENSEEEP00000046970	ENSEEEG00000022111	sh3kbp1
ENSDARP00000143008	ENSDARG00000093546	si:ch73-56d11.5	ENSEEEP00000011363	ENSEEEG00000005748	
ENSDARP00000113874	ENSDARG00000092463	rhbdd2	ENSEEEP00000036419	ENSEEEG00000017317	RHBDD2
ENSDARP00000051848	ENSDARG00000035741	slc25a11	ENSEEEP00000032041	ENSEEEG00000015285	SLC25A11
ENSDARP00000026870	ENSDARG00000007024	uox	ENSEEEP00000048078	ENSEEEG00000022644	uox
ENSDARP00000089895	ENSDARG00000094709	arl8	ENSEEEP00000002679	ENSEEEG00000001552	arl8
ENSDARP00000124782	ENSDARG00000068894	nrip1b	ENSEEEP00000019240	ENSEEEG00000009431	nrip1b
ENSDARP00000106626	ENSDARG00000088639	cdca9	ENSEEEP00000028214	ENSEEEG00000013572	cdca9
ENSDARP00000143740	ENSDARG00000069515	bbs10	ENSEEEP00000014224	ENSEEEG00000007068	bbs10
ENSDARP00000120799	ENSDARG00000022718	casp8ap2	ENSEEEP00000008963	ENSEEEG00000004624	CASP8AP2
ENSDARP00000049166	ENSDARG00000033144	psme2	ENSEEEP00000042962	ENSEEEG00000020279	PSME2
ENSDARP00000041786	ENSDARG00000021021	trim35-28	ENSEEEP00000060035	ENSEEEG00000027441	trim35-28
ENSDARP00000135563	ENSDARG00000099448	sh3d21	ENSEEEP00000013347	ENSEEEG00000006689	sh3d21
ENSDARP00000063942	ENSDARG00000043554	mrpl40	ENSEEEP00000031780	ENSEEEG00000015175	MRPL40
ENSDARP00000081436	ENSDARG00000061191	plekho1a	ENSEEEP00000029704	ENSEEEG00000014230	plekho1a
ENSDARP00000036199	ENSDARG00000025693	tmem9b	ENSEEEP00000030881	ENSEEEG00000014778	TMEM9
ENSDARP00000089398	ENSDARG00000068261	pros1	ENSEEEP00000025781	ENSEEEG00000012497	PROS1
ENSDARP00000048926	ENSDARG00000034309	cox10	ENSEEEP00000000799	ENSEEEG00000000543	COX10
