Hsa Gene ID	Hsa Protein ID	Hsa Gene Name	Eel Gene ID	Eel Protein ID	Eel Gene Name
ENSP00000516945	ENSG00000291483	DUSP11	ENSEEEP00000044790	ENSEEEG00000021141	DUSP11
ENSP00000496420	ENSG00000285246	NEDD8	ENSEEEP00000063555	ENSEEEG00000028062	NEDD8
ENSP00000494562	ENSG00000285182	FNBP4	ENSEEEP00000040140	ENSEEEG00000019036	FNBP4
ENSP00000495027	ENSG00000285121	MTCH2	ENSEEEP00000028228	ENSEEEG00000013578	MTCH2
ENSP00000495235	ENSG00000285199	CIDEB	ENSEEEP00000011666	ENSEEEG00000005866	CIDEB
ENSP00000495490	ENSG00000285379	RIPK3	ENSEEEP00000063352	ENSEEEG00000025608	
ENSP00000518355	ENSG00000284807	DHRS4	ENSEEEP00000058326	ENSEEEG00000005869	dhrs4
ENSP00000516996	ENSG00000291520	NXNL2	ENSEEEP00000026963	ENSEEEG00000013015	NXNL2
ENSP00000494635	ENSG00000284850	DCP1B	ENSEEEP00000062797	ENSEEEG00000009918	DCP1B
ENSP00000500767	ENSG00000288362	CYP11A1	ENSEEEP00000003152	ENSEEEG00000001748	cyp11a2
ENSP00000500266	ENSG00000288408	UBL7	ENSEEEP00000017455	ENSEEEG00000008637	ubl7b
ENSP00000487197	ENSG00000280975	CENATAC	ENSEEEP00000009691	ENSEEEG00000004942	ccdc84
ENSP00000486392	ENSG00000280831	RPS25	ENSEEEP00000022529	ENSEEEG00000010938	RPS25
ENSP00000488659	ENSG00000282739	SLC25A26	ENSEEEP00000023507	ENSEEEG00000011400	SLC25A26
ENSP00000500630	ENSG00000288411	SAA1	ENSEEEP00000063394	ENSEEEG00000001235	saa
ENSP00000517083	ENSG00000291596	COX5B	ENSEEEP00000044834	ENSEEEG00000021160	COX5B
ENSP00000491438	ENSG00000284103	DUS4L	ENSEEEP00000002555	ENSEEEG00000001475	DUS4L
ENSP00000490977	ENSG00000283852	BCAP29	ENSEEEP00000002561	ENSEEEG00000001476	BCAP29
ENSP00000518371	ENSG00000288475	CASP8AP2	ENSEEEP00000008963	ENSEEEG00000004624	CASP8AP2
ENSP00000517221	ENSG00000291712	RNF135	ENSEEEP00000012400	ENSEEEG00000006232	
ENSP00000493830	ENSG00000284774	HSF1	ENSEEEP00000002236	ENSEEEG00000001357	HSF1
ENSP00000517281	ENSG00000291745	MED10	ENSEEEP00000028836	ENSEEEG00000013846	MED10
ENSP00000517282	ENSG00000291747	UBE2QL1	ENSEEEP00000028834	ENSEEEG00000013845	UBE2QL1
ENSP00000517288	ENSG00000291756	HAPLN2	ENSEEEP00000030759	ENSEEEG00000014715	HAPLN2
ENSP00000518217	ENSG00000292251	GPATCH4	ENSEEEP00000036874	ENSEEEG00000017509	GPATCH4
ENSP00000495408	ENSG00000285339	VPS28	ENSEEEP00000033283	ENSEEEG00000015808	VPS28
ENSP00000516999	ENSG00000291523	RWDD2B	ENSEEEP00000057992	ENSEEEG00000029113	RWDD2B
ENSP00000517339	ENSG00000291796	APEX1	ENSEEEP00000002749	ENSEEEG00000001579	APEX1
ENSP00000517542	ENSG00000291917	GPRC5C	ENSEEEP00000000177	ENSEEEG00000000135	GPRC5C
ENSP00000366413	ENSG00000152192	POU4F1	ENSEEEP00000014158	ENSEEEG00000007031	POU4F1
ENSP00000330218	ENSG00000182968	SOX1	ENSEEEP00000057851	ENSEEEG00000025275	sox1a
ENSP00000365080	ENSG00000204442	NALF1	ENSEEEP00000064146	ENSEEEG00000027001	NALF1
ENSP00000366288	ENSG00000178235	SLITRK1	ENSEEEP00000063824	ENSEEEG00000028635	SLITRK1
ENSP00000242819	ENSG00000123171	CCDC70	ENSEEEP00000059328	ENSEEEG00000025280	si:ch211-114c12.5
ENSP00000366694	ENSG00000178695	KCTD12	ENSEEEP00000011408	ENSEEEG00000005765	kctd12.1
ENSP00000245312	ENSG00000125255	SLC10A2	ENSEEEP00000038882	ENSEEEG00000018422	SLC10A2
ENSP00000267294	ENSG00000139800	ZIC5	ENSEEEP00000004140	ENSEEEG00000002196	ZIC5
ENSP00000304331	ENSG00000169840	GSX1	ENSEEEP00000032513	ENSEEEG00000015501	GSX1
ENSP00000334216	ENSG00000186009	ATP4B	ENSEEEP00000025741	ENSEEEG00000012470	ATP4B
ENSP00000368402	ENSG00000180332	KCTD4	ENSEEEP00000011435	ENSEEEG00000005778	KCTD4
ENSP00000426528	ENSG00000165566	AMER2	ENSEEEP00000063474	ENSEEEG00000028642	AMER2
ENSP00000366682	ENSG00000102794	ACOD1	ENSEEEP00000011409	ENSEEEG00000005766	ACOD1
ENSP00000284885	ENSG00000154646	TMPRSS15	ENSEEEP00000009270	ENSEEEG00000004755	tmprss15
ENSP00000366144	ENSG00000125285	SOX21	ENSEEEP00000056531	ENSEEEG00000025687	sox21b
ENSP00000491834	ENSG00000284099	SQSTM1	ENSEEEP00000050660	ENSEEEG00000023814	SQSTM1
ENSP00000333490	ENSG00000183463	URAD	ENSEEEP00000047457	ENSEEEG00000022330	urad
ENSP00000382783	ENSG00000156284	CLDN8	ENSEEEP00000000436	ENSEEEG00000000323	cldn8.3
ENSP00000489438	ENSG00000282986	EIF3K	ENSEEEP00000036842	ENSEEEG00000017493	EIF3K
ENSP00000492334	ENSG00000283887	LTC4S	ENSEEEP00000050723	ENSEEEG00000023830	LTC4S
ENSP00000489530	ENSG00000282853	ECH1	ENSEEEP00000063583	ENSEEEG00000015750	ech1
ENSP00000371785	ENSG00000184221	OLIG1	ENSEEEP00000040763	ENSEEEG00000019318	olig1
ENSP00000491752	ENSG00000283864		ENSEEEP00000060773	ENSEEEG00000028555	
ENSP00000491876	ENSG00000284487	MOSMO	ENSEEEP00000063190	ENSEEEG00000028023	MOSMO
ENSP00000517432	ENSG00000291835	MYG1	ENSEEEP00000019826	ENSEEEG00000009702	MYG1
ENSP00000517571	ENSG00000291930	NDUFB10	ENSEEEP00000008740	ENSEEEG00000004530	NDUFB10
ENSP00000493848	ENSG00000285250	MSRA	ENSEEEP00000060160	ENSEEEG00000028375	si:ch1073-358c10.1
ENSP00000517634	ENSG00000291958	GCSH	ENSEEEP00000052811	ENSEEEG00000027903	gcsha
ENSP00000495318	ENSG00000285327	XKR5	ENSEEEP00000044915	ENSEEEG00000021200	xkr5a
ENSP00000493647	ENSG00000285109	GATA4	ENSEEEP00000044485	ENSEEEG00000021014	GATA4
ENSP00000518496	ENSG00000292288	FAM167A	ENSEEEP00000002877	ENSEEEG00000001643	FAM167B
ENSP00000495308	ENSG00000285147	C8orf74	ENSEEEP00000020444	ENSEEEG00000009978	c13h8orf74
ENSP00000518539	ENSG00000292301	ERI1	ENSEEEP00000035134	ENSEEEG00000016719	ERI1
ENSP00000496345	ENSG00000284872	TRMT9B	ENSEEEP00000027385	ENSEEEG00000013210	trmt9b
ENSP00000482330	ENSG00000276130	SLC67A1	ENSEEEP00000062586	ENSEEEG00000006153	SLC22A18
ENSP00000477831	ENSG00000273831	LRRC56	ENSEEEP00000049177	ENSEEEG00000023108	LRRC56
ENSP00000483129	ENSG00000274780	PHRF1	ENSEEEP00000049170	ENSEEEG00000023105	PHRF1
ENSP00000480036	ENSG00000276230	RNH1	ENSEEEP00000019716	ENSEEEG00000026315	
ENSP00000379118	ENSG00000278545	MARCHF8	ENSEEEP00000017484	ENSEEEG00000008650	MARCHF8
ENSP00000299766	ENSG00000166603	MC4R	ENSEEEP00000019740	ENSEEEG00000009660	MC4R
ENSP00000488830	ENSG00000275035	CCDC92	ENSEEEP00000061705	ENSEEEG00000027335	CCDC92
ENSP00000465194	ENSG00000267228		ENSEEEP00000062140	ENSEEEG00000027594	ier3ip1
ENSP00000463379	ENSG00000215472	RPL17-C18orf32	ENSEEEP00000030490	ENSEEEG00000014601	rpl17
ENSP00000419185	ENSG00000119547	ONECUT2	ENSEEEP00000034133	ENSEEEG00000016251	ONECUT2
ENSP00000319052	ENSG00000177143	CETN1	ENSEEEP00000017248	ENSEEEG00000008523	cetn4
ENSP00000372959	ENSG00000206422	LRRC30	ENSEEEP00000050195	ENSEEEG00000023610	lrrc30a
ENSP00000468086	ENSG00000176136	MC5R	ENSEEEP00000000125	ENSEEEG00000000087	mc5ra
ENSP00000432279	ENSG00000255112	CHMP1B	ENSEEEP00000029232	ENSEEEG00000014007	CHMP1B
ENSP00000518446	ENSG00000250878	METTL21EP	ENSEEEP00000027212	ENSEEEG00000013130	zgc:92518
ENSP00000485962	ENSG00000282657	IGHM	ENSEEEP00000015703	ENSEEEG00000007777	
ENSP00000368459	ENSG00000083635	NUFIP1	ENSEEEP00000047688	ENSEEEG00000022448	nufip1
ENSP00000594411	ENSG00000139687	RB1	ENSEEEP00000060286	ENSEEEG00000004262	RB1
ENSP00000380610	ENSG00000125245	GPR18	ENSEEEP00000009927	ENSEEEG00000005049	GPR18
ENSP00000558755	ENSG00000102760	RGCC	ENSEEEP00000013248	ENSEEEG00000006639	RGCC
ENSP00000460944	ENSG00000262145	ATP23	ENSEEEP00000011121	ENSEEEG00000005642	ATP23
ENSP00000479117	ENSG00000275568	ARHGAP11A	ENSEEEP00000046576	ENSEEEG00000021935	arhgap11a
ENSP00000290200	ENSG00000243646	IL10RB	ENSEEEP00000003043	ENSEEEG00000001728	EMB
ENSP00000632708	ENSG00000136098	NEK3	ENSEEEP00000041558	ENSEEEG00000019656	NEK3
ENSP00000482615	ENSG00000277614	SCG5	ENSEEEP00000021361	ENSEEEG00000010408	SCG5
ENSP00000498493	ENSG00000134897	BIVM	ENSEEEP00000033220	ENSEEEG00000015792	bivm
ENSP00000286835	ENSG00000156304	SCAF4	ENSEEEP00000030154	ENSEEEG00000014458	scaf4a
ENSP00000383433	ENSG00000180776	ZDHHC20	ENSEEEP00000036395	ENSEEEG00000017306	zdhhc20a
ENSP00000325776	ENSG00000180440	SERTM1	ENSEEEP00000012358	ENSEEEG00000006219	SERTM1
ENSP00000561183	ENSG00000120686	UFM1	ENSEEEP00000030108	ENSEEEG00000014431	UFM1
ENSP00000481547	ENSG00000274296	DECR2	ENSEEEP00000006659	ENSEEEG00000003534	DECR2
ENSP00000573460	ENSG00000165487	MICU2	ENSEEEP00000046640	ENSEEEG00000021959	MICU2
ENSP00000553090	ENSG00000188342	GTF2F2	ENSEEEP00000027817	ENSEEEG00000013391	gtf2f2a
ENSP00000701338	ENSG00000157617	C2CD2	ENSEEEP00000016937	ENSEEEG00000008396	C2CD2
ENSP00000291582	ENSG00000160224	AIRE	ENSEEEP00000044037	ENSEEEG00000020805	AIRE
ENSP00000382092	ENSG00000159261	CLDN14	ENSEEEP00000045246	ENSEEEG00000021355	CLDN14
ENSP00000481595	ENSG00000276336	SCARF1	ENSEEEP00000061942	ENSEEEG00000009389	SCARF1
ENSP00000478917	ENSG00000275947	LYSET	ENSEEEP00000024720	ENSEEEG00000011967	TMEM251
ENSP00000382971	ENSG00000154723	ATP5PF	ENSEEEP00000043152	ENSEEEG00000020376	ATP5PF
ENSP00000483908	ENSG00000278787	UBR7	ENSEEEP00000024724	ENSEEEG00000011970	ubr7
ENSP00000481874	ENSG00000276838	SERPINF2	ENSEEEP00000040895	ENSEEEG00000019368	serpinf2a
ENSP00000512890	ENSG00000182670	TTC3	ENSEEEP00000025946	ENSEEEG00000012572	TTC3
ENSP00000486067	ENSG00000277377	SERPINA1	ENSEEEP00000021713	ENSEEEG00000010391	SERPINA4
ENSP00000494031	ENSG00000198824	CHAMP1	ENSEEEP00000063640	ENSEEEG00000027503	
ENSP00000258662	ENSG00000136159	NUDT15	ENSEEEP00000062261	ENSEEEG00000026581	NUDT15
ENSP00000495664	ENSG00000136143	SUCLA2	ENSEEEP00000018475	ENSEEEG00000008991	SUCLA2
ENSP00000365895	ENSG00000185352	HS6ST3	ENSEEEP00000025919	ENSEEEG00000012556	hs6st3b
ENSP00000298248	ENSG00000165475	CRYL1	ENSEEEP00000049743	ENSEEEG00000023379	CRYL1
ENSP00000496481	ENSG00000136104	RNASEH2B	ENSEEEP00000038198	ENSEEEG00000018157	RNASEH2B
ENSP00000481426	ENSG00000273686	B2M	ENSEEEP00000001887	ENSEEEG00000001183	B2M
ENSP00000348299	ENSG00000204977	TRIM13	ENSEEEP00000029087	ENSEEEG00000013953	TRIM13
ENSP00000312631	ENSG00000173404	INSM1	ENSEEEP00000019590	ENSEEEG00000009602	insm1b
ENSP00000219022	ENSG00000102837	OLFM4	ENSEEEP00000018996	ENSEEEG00000009313	si:ch211-173a9.6
ENSP00000482916	ENSG00000284776		ENSEEEP00000012159	ENSEEEG00000006133	dtd1
ENSP00000366845	ENSG00000188243	COMMD6	ENSEEEP00000061811	ENSEEEG00000027632	commd6
ENSP00000243911	ENSG00000124089	MC3R	ENSEEEP00000023472	ENSEEEG00000011379	MC3R
ENSP00000480998	ENSG00000125533	BHLHE23	ENSEEEP00000013603	ENSEEEG00000006798	bhlhe23
ENSP00000365351	ENSG00000198542	ITGBL1	ENSEEEP00000004370	ENSEEEG00000002288	ITGBL1
ENSP00000246081	ENSG00000125879	OTOR	ENSEEEP00000018371	ENSEEEG00000009022	OTOR
ENSP00000477059	ENSG00000260903	XKR7	ENSEEEP00000048334	ENSEEEG00000022763	XKR7
ENSP00000363529	ENSG00000125998	FAM83C	ENSEEEP00000004727	ENSEEEG00000002474	FAM83C
ENSP00000454021	ENSG00000259399	TGIF2-RAB5IF	ENSEEEP00000062904	ENSEEEG00000028370	rab5if
ENSP00000369647	ENSG00000101200	AVP	ENSEEEP00000036096	ENSEEEG00000017170	
ENSP00000362410	ENSG00000204103	MAFB	ENSEEEP00000059230	ENSEEEG00000025951	mafba
ENSP00000484056	ENSG00000247315	ZCCHC3	ENSEEEP00000055145	ENSEEEG00000025905	
ENSP00000244051	ENSG00000124217	MOCS3	ENSEEEP00000047609	ENSEEEG00000022409	MOCS3
ENSP00000347646	ENSG00000177732	SOX12	ENSEEEP00000058955	ENSEEEG00000026500	SOX12
ENSP00000279028	ENSG00000149635	OCSTAMP	ENSEEEP00000023463	ENSEEEG00000011376	OCSTAMP
ENSP00000243913	ENSG00000124091	GCNT7	ENSEEEP00000015706	ENSEEEG00000007766	GCNT7
ENSP00000504398	ENSG00000152217	SETBP1	ENSEEEP00000053593	ENSEEEG00000027241	
ENSP00000498370	ENSG00000177150	FAM210A	ENSEEEP00000000094	ENSEEEG00000000061	fam210aa
ENSP00000633646	ENSG00000074695	LMAN1	ENSEEEP00000008681	ENSEEEG00000004506	LMAN1
ENSP00000369372	ENSG00000177324	BEND2	ENSEEEP00000023422	ENSEEEG00000011351	zgc:113423
ENSP00000368813	ENSG00000185915	KLHL34	ENSEEEP00000063914	ENSEEEG00000022191	KLHL34
ENSP00000499210	ENSG00000286070		ENSEEEP00000037933	ENSEEEG00000018023	snrpd3l
ENSP00000420037	ENSG00000185808	PIGP	ENSEEEP00000059948	ENSEEEG00000012573	PIGP
ENSP00000360035	ENSG00000132825	PPP1R3D	ENSEEEP00000026324	ENSEEEG00000012747	ppp1r3db
ENSP00000218436	ENSG00000102313	ITIH6	ENSEEEP00000050545	ENSEEEG00000023728	itih6
ENSP00000394757	ENSG00000101493	ZNF516	ENSEEEP00000011163	ENSEEEG00000005662	ZNF516
ENSP00000291554	ENSG00000160202	CRYAA	ENSEEEP00000024596	ENSEEEG00000011917	cryaa
ENSP00000383366	ENSG00000215529	EFCAB8	ENSEEEP00000051938	ENSEEEG00000024368	
ENSP00000520773	ENSG00000172216	CEBPB	ENSEEEP00000001640	ENSEEEG00000001051	CEBPB
ENSP00000599206	ENSG00000080986	NDC80	ENSEEEP00000016121	ENSEEEG00000007974	NDC80
ENSP00000495996	ENSG00000196767	POU3F4	ENSEEEP00000000101	ENSEEEG00000000062	POU3F4
ENSP00000372160	ENSG00000206052	DOK6	ENSEEEP00000020362	ENSEEEG00000009937	DOK6
ENSP00000434235	ENSG00000288683		ENSEEEP00000051213	ENSEEEG00000024040	pex26
ENSP00000364003	ENSG00000184675	AMER1	ENSEEEP00000013748	ENSEEEG00000006849	AMER1
ENSP00000291536	ENSG00000160188	RSPH1	ENSEEEP00000024963	ENSEEEG00000012107	RSPH1
ENSP00000483030	ENSG00000277936	MRPL45	ENSEEEP00000036051	ENSEEEG00000017145	MRPL45
ENSP00000344504	ENSG00000189060	H1-0	ENSEEEP00000006699	ENSEEEG00000003551	H1-0
ENSP00000328671	ENSG00000160193	WDR4	ENSEEEP00000023778	ENSEEEG00000011527	WDR4
ENSP00000329318	ENSG00000183307	TMEM121B	ENSEEEP00000037357	ENSEEEG00000017757	tmem121b
ENSP00000488051	ENSG00000276914	CEP20	ENSEEEP00000053976	ENSEEEG00000026197	fopnl
ENSP00000512282	ENSG00000188263	IL17REL	ENSEEEP00000045561	ENSEEEG00000021496	il17rel
ENSP00000249016	ENSG00000128285	MCHR1	ENSEEEP00000013322	ENSEEEG00000006674	MCHR2
ENSP00000497003	ENSG00000184058	TBX1	ENSEEEP00000027056	ENSEEEG00000013061	tbx1
ENSP00000328992	ENSG00000159086	PAXBP1	ENSEEEP00000036537	ENSEEEG00000017357	PAXBP1
ENSP00000304956	ENSG00000169184	MN1	ENSEEEP00000046484	ENSEEEG00000021899	mn1b
ENSP00000498524	ENSG00000286268		ENSEEEP00000058285	ENSEEEG00000028440	ebp
ENSP00000498972	ENSG00000165370	GPR101	ENSEEEP00000052085	ENSEEEG00000024430	gpr101
ENSP00000648887	ENSG00000159131	GART	ENSEEEP00000039499	ENSEEEG00000018757	GART
ENSP00000483858	ENSG00000278823	BMERB1	ENSEEEP00000011769	ENSEEEG00000005923	BMERB1
ENSP00000362095	ENSG00000102359	SRPX2	ENSEEEP00000035542	ENSEEEG00000016931	SRPX2
ENSP00000282041	ENSG00000152223	EPG5	ENSEEEP00000047062	ENSEEEG00000022104	EPG5
ENSP00000488050	ENSG00000275911	NDE1	ENSEEEP00000060196	ENSEEEG00000028047	NDE1
ENSP00000360497	ENSG00000125352	RNF113A	ENSEEEP00000002104	ENSEEEG00000001278	rnf113a
ENSP00000481504	ENSG00000278574	ZNHIT3	ENSEEEP00000050519	ENSEEEG00000023757	ZNHIT3
ENSP00000541645	ENSG00000101782	RIOK3	ENSEEEP00000034863	ENSEEEG00000016342	RIOK3
ENSP00000478520	ENSG00000274853	MRM1	ENSEEEP00000044667	ENSEEEG00000021092	MRM1
ENSP00000528642	ENSG00000126218	F10	ENSEEEP00000024913	ENSEEEG00000012023	F10
ENSP00000508182	ENSG00000147262	GPR119	ENSEEEP00000037914	ENSEEEG00000018014	GPR119
ENSP00000481894	ENSG00000276072	AATF	ENSEEEP00000044672	ENSEEEG00000021095	AATF
ENSP00000369840	ENSG00000175664	TEX26	ENSEEEP00000044971	ENSEEEG00000021225	fam78ab
ENSP00000480736	ENSG00000274229	SOCS7	ENSEEEP00000036042	ENSEEEG00000017141	SOCS7
ENSP00000481061	ENSG00000276432	RDM1	ENSEEEP00000022691	ENSEEEG00000011017	zgc:103564
ENSP00000370420	ENSG00000205642	VCX3B	ENSEEEP00000016866	ENSEEEG00000008356	
ENSP00000369320	ENSG00000102104	RS1	ENSEEEP00000052220	ENSEEEG00000024483	RS1
ENSP00000363643	ENSG00000186912	P2RY4	ENSEEEP00000026075	ENSEEEG00000012628	P2RY4
ENSP00000367913	ENSG00000198173	FAM47C	ENSEEEP00000055203	ENSEEEG00000028045	
ENSP00000256429	ENSG00000134046	MBD2	ENSEEEP00000008646	ENSEEEG00000004488	MBD2
ENSP00000767719	ENSG00000152234	ATP5F1A	ENSEEEP00000020699	ENSEEEG00000010092	atp5fa1
ENSP00000255305	ENSG00000132953	XPO4	ENSEEEP00000049695	ENSEEEG00000023337	XPO4
ENSP00000596502	ENSG00000151849	CPAP	ENSEEEP00000026054	ENSEEEG00000012617	CENPJ
ENSP00000460799	ENSG00000261972	CES5A	ENSEEEP00000055179	ENSEEEG00000010338	CES3
ENSP00000483747	ENSG00000275397	DHRS11	ENSEEEP00000050505	ENSEEEG00000023747	dhrs11a
ENSP00000269601	ENSG00000141759	TXNL4A	ENSEEEP00000047046	ENSEEEG00000022148	TXNL4A
ENSP00000483956	ENSG00000275903	PSMB3	ENSEEEP00000038548	ENSEEEG00000018300	PSMB3
ENSP00000622448	ENSG00000134884	ARGLU1	ENSEEEP00000041055	ENSEEEG00000019440	arglu1b
ENSP00000267273	ENSG00000139780	METTL21C	ENSEEEP00000047186	ENSEEEG00000022213	METTL21C
ENSP00000597103	ENSG00000139835	GRTP1	ENSEEEP00000061610	ENSEEEG00000025252	grtp1a
ENSP00000344331	ENSG00000187773	DIPK1C	ENSEEEP00000010192	ENSEEEG00000005178	DIPK1C
ENSP00000334813	ENSG00000134438	RAX	ENSEEEP00000008671	ENSEEEG00000004500	rx3
ENSP00000262126	ENSG00000101745	ANKRD12	ENSEEEP00000062013	ENSEEEG00000028523	ANKRD12
ENSP00000505596	ENSG00000139793	MBNL2	ENSEEEP00000037089	ENSEEEG00000017616	MBNL2
ENSP00000488242	ENSG00000274636	GLIS2	ENSEEEP00000045672	ENSEEEG00000021538	glis2b
ENSP00000490181	ENSG00000102805	CLN5	ENSEEEP00000024959	ENSEEEG00000012106	cln5
ENSP00000370055	ENSG00000122042	UBL3	ENSEEEP00000057980	ENSEEEG00000002500	ubl3a
ENSP00000311984	ENSG00000213995	NAXD	ENSEEEP00000037862	ENSEEEG00000017997	NAXD
ENSP00000683992	ENSG00000101624	CEP76	ENSEEEP00000027128	ENSEEEG00000013094	CEP76
ENSP00000258613	ENSG00000136114	THSD1	ENSEEEP00000036701	ENSEEEG00000017414	THSD1
ENSP00000352798	ENSG00000182871	COL18A1	ENSEEEP00000043555	ENSEEEG00000020577	col18a1a
ENSP00000508137	ENSG00000167216	KATNAL2	ENSEEEP00000039994	ENSEEEG00000018962	KATNAL2
ENSP00000488916	ENSG00000282830	CALB2	ENSEEEP00000047003	ENSEEEG00000022119	calb2a
ENSP00000787704	ENSG00000151778	SERP2	ENSEEEP00000011440	ENSEEEG00000005781	SERP2
ENSP00000365596	ENSG00000169508	GPR183	ENSEEEP00000009925	ENSEEEG00000005048	gpr183a
ENSP00000439902	ENSG00000139618	BRCA2	ENSEEEP00000055096	ENSEEEG00000027450	
ENSP00000488893	ENSG00000282013	RPH3AL	ENSEEEP00000008593	ENSEEEG00000004452	RPH3AL
ENSP00000479494	ENSG00000126226	PCID2	ENSEEEP00000024951	ENSEEEG00000012089	PCID2
ENSP00000617771	ENSG00000101557	USP14	ENSEEEP00000022461	ENSEEEG00000010814	USP14
ENSP00000481626	ENSG00000152242	ARK2N	ENSEEEP00000061296	ENSEEEG00000027581	C18orf25
ENSP00000498881	ENSG00000134899	ERCC5	ENSEEEP00000027213	ENSEEEG00000013131	ercc5
ENSP00000521128	ENSG00000167220	HDHD2	ENSEEEP00000039986	ENSEEEG00000018959	HDHD2
ENSP00000508153	ENSG00000005810	MYCBP2	ENSEEEP00000017096	ENSEEEG00000006725	MYCBP2
ENSP00000794597	ENSG00000101670	LIPG	ENSEEEP00000037905	ENSEEEG00000018000	LIPG
ENSP00000493716	ENSG00000125266	EFNB2	ENSEEEP00000056066	ENSEEEG00000010437	efnb2a
ENSP00000535887	ENSG00000153339	TRAPPC8	ENSEEEP00000001013	ENSEEEG00000000589	TRAPPC8
ENSP00000602983	ENSG00000154640	BTG3	ENSEEEP00000004765	ENSEEEG00000002494	BTG3
ENSP00000520998	ENSG00000130589	HELZ2	ENSEEEP00000017868	ENSEEEG00000008819	helz2a
ENSP00000502087	ENSG00000159267	HLCS	ENSEEEP00000025950	ENSEEEG00000012575	HLCS
ENSP00000489048	ENSG00000153531	ADPRHL1	ENSEEEP00000025497	ENSEEEG00000012344	adprhl1
ENSP00000437737	ENSG00000102468	HTR2A	ENSEEEP00000022927	ENSEEEG00000011122	htr2aa
ENSP00000561230	ENSG00000165556	CDX2	ENSEEEP00000027268	ENSEEEG00000013156	cdx1b
ENSP00000331734	ENSG00000183145	RIPPLY3	ENSEEEP00000025949	ENSEEEG00000012574	RIPPLY3
ENSP00000269844	ENSG00000141956	PRDM15	ENSEEEP00000016933	ENSEEEG00000008381	PRDM15
ENSP00000349571	ENSG00000136153	LMO7	ENSEEEP00000011395	ENSEEEG00000005671	LMO7
ENSP00000550962	ENSG00000075643	MOCOS	ENSEEEP00000010314	ENSEEEG00000005202	MOCOS
ENSP00000621500	ENSG00000119537	KDSR	ENSEEEP00000020087	ENSEEEG00000009816	KDSR
ENSP00000488046	ENSG00000277956	MAPT	ENSEEEP00000027867	ENSEEEG00000013419	maptb
ENSP00000529538	ENSG00000173638	SLC19A1	ENSEEEP00000049488	ENSEEEG00000023264	SLC19A1
ENSP00000430858	ENSG00000276418		ENSEEEP00000031544	ENSEEEG00000015090	tpd52
ENSP00000454445	ENSG00000258677		ENSEEEP00000058024	ENSEEEG00000026431	ube2w
ENSP00000291560	ENSG00000160207	HSF2BP	ENSEEEP00000024604	ENSEEEG00000011927	HSF2BP
ENSP00000269187	ENSG00000141424	SLC39A6	ENSEEEP00000052859	ENSEEEG00000012555	SLC39A6
